sid,loam,itdc,mana,eci,buetc,hufa,quma,ec,mots,sta,cmat,calb,pgl,oprsa,stb,oprsb,lgma,cala,pom,erp,ac,iidm,cotas,fypl,pjm
SD970810 ,1,61,96,80,75,61,63,71,99,80,88,74,91,85,94,91,60,71,70,77,68,84,99,99,93
SD970811 ,0,27,75,72,80,68,64,55,99,61,76,64,85,82,92,84,46,79,70,76,60,89,93,86,90
SD970812 ,1,2,0,0,0,0,35,38,1,63,53,71,57,40,35,45,34,69,65,60,26,60,40,65,0
SD970813 ,0,8,75,90,70,63,61,47,79,65,67,63,80,80,63,60,70,66,60,94,60,65,61,96,91
SD970814 ,0,33,90,86,88,87,70,96,99,74,65,84,79,91,90,81,88,49,54,79,88,64,87,94,90
SD970815 ,0,83,93,90,93,91,76,68,99,74,88,82,83,83,98,92,98,69,87,90,100,75,99,93,90
SD970816 ,1,37,84,93,85,75,78,67,95,55,82,65,85,60,73,65,62,74,73,80,88,60,60,88,93
SD970817 ,1,68,92,80,75,73,73,60,85,61,78,65,81,43,90,60,66,65,77,78,81,64,60,73,92
SD970818 ,0,83,95,95,92,86,80,89,99,73,88,82,83,82,92,80,93,72,88,92,96,65,73,77,91
SD970819 ,1,49,75,80,65,74,61,52,95,75,66,60,79,30,74,60,49,63,60,72,75,60,30,78,85
SD970820 ,0,75,88,92,80,71,61,64,93,70,79,49,74,61,95,60,66,49,65,60,99,60,62,61,90
SD970821 ,1,70,82,80,75,63,62,72,88,68,86,65,77,66,84,64,60,60,55,74,98,74,61,60,93
SD970822 ,1,21,76,90,80,70,61,70,93,55,40,71,92,60,51,61,49,80,63,85,80,72,36,60,95
SD970823 ,0,49,80,75,62,50,61,74,86,70,70,63,79,61,76,50,60,65,49,91,76,60,61,60,91
SD970824 ,0,43,80,70,88,81,82,75,99,76,65,75,81,94,98,97,92,88,82,90,76,64,99,91,99
SD970826 ,0,63,90,75,80,76,63,69,99,79,70,69,84,30,84,77,68,80,70,72,64,60,20,86,90
SD970827 ,0,2,0,0,0,81,95,63,99,77,86,89,80,99,98,90,84,74,95,88,73,66,98,95,0
SD970828 ,0,71,88,85,80,78,75,72,99,84,67,94,78,73,98,66,62,85,76,86,77,76,61,72,90
SD970829 ,0,47,78,80,70,86,71,72,99,89,83,75,91,82,98,90,47,60,70,88,76,82,93,71,99
SD970830 ,1,60,82,93,80,76,60,57,97,72,88,60,84,63,87,77,51,65,75,67,69,66,61,78,91
SD970831 ,1,11,88,88,85,74,69,90,94,74,83,60,85,63,84,78,94,86,69,95,60,77,63,95,93
SD970832 ,0,65,72,80,60,72,61,60,94,62,65,41,80,60,80,60,48,67,77,71,60,79,20,72,92
SD970833 ,1,14,78,70,60,40,65,72,89,65,70,49,73,1,76,78,65,70,68,67,68,84,61,60,93
SD970834 ,0,65,82,80,85,72,82,75,99,90,96,83,91,97,98,99,90,80,93,91,61,80,99,99,95
SD970835 ,1,1,0,0,0,68,88,50,90,60,74,69,74,90,91,70,72,60,83,83,69,61,96,80,0
SD970836 ,0,74,85,85,90,64,70,84,99,95,90,87,91,71,98,95,70,80,83,86,74,78,99,99,99
SD970837 ,1,64,82,80,80,83,78,72,99,75,93,83,91,80,98,94,70,82,75,90,61,61,95,99,92
SD970838 ,1,11,83,92,50,62,61,71,85,60,60,67,78,61,81,60,16,49,70,74,30,74,61,62,91
SD970839 ,1,60,86,76,80,66,61,65,98,68,65,70,76,61,88,67,60,76,76,76,61,79,61,60,85
SD970840 ,0,8,75,90,75,64,63,78,80,66,68,49,86,60,75,75,0,75,68,82,83,90,61,66,95
SD970841 ,1,38,80,83,80,75,61,84,84,55,65,49,64,62,97,52,61,74,60,72,81,64,20,60,85
SD970842 ,1,76,87,90,90,76,72,76,99,61,78,67,89,63,89,91,63,75,70,94,76,75,91,75,93
SD970843 ,0,72,82,90,85,73,68,81,98,69,88,66,84,74,98,74,84,67,82,85,88,63,61,92,85
SD970844 ,1,31,90,85,65,62,63,79,94,60,60,49,75,61,80,60,55,49,55,18,86,62,61,60,90
SD970845 ,1,38,73,0,0,0,50,67,25,55,60,49,74,0,82,45,51,49,75,0,62,60,60,0,0
SD970846 ,0,80,90,80,80,73,76,76,99,84,95,70,90,90,98,81,60,77,68,68,92,72,76,62,93
SD970847 ,0,75,80,92,70,80,61,77,98,73,77,71,88,61,86,82,70,67,61,80,89,83,60,60,91
SD970848 ,1,29,70,80,65,61,69,63,93,84,10,60,40,63,67,65,47,69,39,62,70,71,63,74,85
SD970849 ,0,80,88,90,95,83,77,94,99,98,80,86,73,81,98,69,61,85,80,85,100,84,60,87,91
SD970850 ,0,79,95,88,100,89,79,86,99,70,87,80,81,91,98,97,97,75,92,98,92,72,99,95,99
SD970851 ,0,62,82,90,93,84,67,80,94,71,66,49,84,65,88,78,63,72,73,87,90,70,90,71,95
SD970852 ,0,71,90,78,82,85,64,75,89,65,65,49,78,65,87,79,65,66,65,81,80,70,82,80,90
SD970853 ,0,13,60,70,0,0,0,65,1,0,30,49,73,1,60,1,0,49,64,0,89,76,20,0,0
SD970854 ,0,24,83,88,85,88,64,98,99,66,87,49,82,72,74,70,76,74,55,87,94,84,63,82,90
SD970855 ,0,75,80,78,80,82,69,84,94,66,80,66,91,82,92,61,65,69,60,81,100,67,96,60,85
SD970856 ,1,77,93,93,75,88,75,90,99,99,78,74,84,97,98,96,88,86,80,98,100,81,95,99,90
