sid,loam,cala,calb,ec,pjm,eortr,eci,maec,sta,mana,mm,itmt,aca,acb
SD1030650,0,73,73,79,71,84,75,72,90,97,84,76,66,60
SD1030651,1,60,61,61,74,70,79,77,87,87,87,78,45,61
SD1030652,1,82,73,65,54,71,69,72,61,77,66,22,60,60
SD1030653,0,79,67,63,92,86,87,83,86,89,93,89,60,41
SD1030654,1,60,60,64,100,83,76,61,89,82,77,88,60,42
SD1030655,1,77,71,69,84,81,71,73,62,82,77,81,61,69
SD1030656,0,83,92,78,100,75,84,71,92,92,95,66,76,62
SD1030657,1,75,89,88,100,81,85,74,88,98,94,72,63,73
SD1030658,0,73,75,75,86,72,79,77,80,86,92,66,68,70
SD1030659,0,83,96,80,95,83,79,82,87,92,87,76,62,60
SD1030660,0,76,76,71,75,75,82,84,83,66,83,65,63,60
SD1030661,0,65,72,80,81,77,67,72,70,81,83,64,60,60
SD1030662,0,74,93,70,100,89,97,71,93,96,100,92,69,61
SD1030663,0,68,62,74,100,69,84,72,86,93,95,63,63,60
SD1030664,1,78,60,85,84,60,71,69,71,87,68,62,70,61
SD1030665,0,71,72,70,83,72,73,74,87,60,67,63,66,60
SD1030666,0,82,82,66,81,75,72,73,68,84,77,64,60,60
SD1030667,0,73,61,76,86,80,71,80,84,76,91,72,60,39
SD1030668,1,60,63,70,89,80,81,78,88,92,91,73,64,60
SD1030669,1,33,60,67,87,64,87,69,86,78,95,62,48,39
SD1030670,0,79,81,75,91,79,84,77,89,90,94,65,50,82
SD1030671,1,78,68,74,82,79,83,77,84,85,76,73,69,65
SD1030672,0,81,69,75,96,66,86,73,83,83,78,63,60,60
SD1030673,1,70,60,76,77,70,74,75,82,85,78,71,60,62
SD1030674,0,70,70,77,84,85,76,70,84,84,84,80,62,60
SD1030675,1,60,36,69,69,72,62,69,81,60,65,61,64,60
SD1030676,0,63,60,61,74,66,72,61,64,67,63,50,60,62
SD1030677,0,62,78,77,100,79,93,82,95,90,95,86,68,62
SD1030678,1,67,72,71,72,77,87,69,87,64,79,72,60,41
SD1030680,0,83,90,82,96,84,100,81,94,97,100,92,64,78
SD1030682,0,64,60,60,80,70,77,60,87,79,88,60,76,60
