sid,loam,ines,care,cala,calb,ec,sta,stb,apec,myba,mybb,imaca,imacb,fsta,claw,bul,fma,fmb,ivm,inse,fuop,mfin
SD1000484,0,83,87,68,42,89,60,31,78,77,78,82,60,75,63,65,50,75,68,63,66,80
SD1000485,0,88,90,90,93,82,71,79,85,68,88,97,87,88,69,88,66,84,72,82,85,84
SD1000486,0,73,73,66,66,87,60,60,94,77,66,77,79,60,67,66,62,60,72,73,22,37
SD1000487,0,79,74,65,67,82,60,34,88,85,71,81,77,61,82,88,60,68,82,65,40,80
SD1000488,0,86,88,66,74,85,68,46,87,78,87,80,76,87,82,74,60,65,79,74,80,85
SD1000490,0,83,90,81,66,82,71,79,85,77,80,75,77,82,68,94,51,72,64,70,77,82
SD1000491,1,84,85,61,43,86,60,36,77,65,66,73,64,68,69,64,50,75,75,71,64,80
SD1000492,1,86,94,80,77,90,48,73,93,78,69,77,73,82,66,60,60,70,73,68,71,86
SD1000493,0,79,84,91,80,74,77,92,76,83,67,74,85,80,70,92,90,90,60,78,80,88
SD1000494,1,82,91,90,81,80,84,99,78,72,80,71,86,77,73,95,98,100,68,76,89,82
SD1000495,1,85,87,60,37,85,87,89,86,89,88,85,86,80,61,78,90,80,84,83,78,82
SD1000496,1,0,0,68,72,80,35,13,91,53,50,60,74,0,79,61,60,30,0,60,0,0
SD1000497,1,82,90,71,74,84,80,95,88,84,78,80,92,89,76,94,78,92,60,80,74,84
SD1000498,0,79,90,75,83,83,83,86,94,77,89,72,75,72,93,91,89,77,80,67,79,89
SD1000499,0,83,93,65,60,80,60,61,81,74,71,66,63,70,67,72,60,60,71,68,65,85
SD1000500,0,92,93,99,92,86,90,96,91,96,90,87,83,89,94,96,99,95,85,87,90,96
SD1000684,0,79,91,68,60,79,60,70,89,80,73,0,65,64,81,97,70,89,81,79,79,96
SD1000737,0,66,88,83,60,88,60,60,87,71,63,66,60,63,70,60,60,60,67,76,65,86
SD1000798,0,81,87,60,60,79,0,30,76,83,72,60,47,67,82,0,94,60,51,79,64,82
