sid,loam,ines,care,cala,calb,ec,sta,stb,apec,myba,mybb,imaca,imacb,fsta,claw,bul,fma,fmb,ivm,inse,fuop,mfin
SD1010887,1,86,1,60,60,65,0,0,71,56,50,66,60,24,60,72,30,4,67,28,9,13
SD1010888,1,85,83,60,60,67,39,32,77,78,85,68,60,74,61,71,60,68,79,78,72,82
SD1010889,0,85,79,62,79,73,68,82,70,81,80,85,78,78,60,75,75,77,91,70,76,91
SD1010890,0,85,85,80,93,60,63,60,61,77,81,60,51,80,70,58,66,60,77,70,85,88
SD1010892,0,92,90,68,73,69,76,81,73,80,87,63,76,71,60,75,91,84,91,82,95,91
SD1010893,0,92,73,55,66,72,16,27,73,62,88,60,53,72,50,75,24,65,61,76,67,90
SD1010894,0,82,89,83,61,78,63,8,69,69,88,86,69,80,50,70,65,71,72,63,81,89
SD1010895,0,90,85,60,48,70,60,60,67,82,86,60,68,68,60,79,77,64,73,75,81,88
SD1010896,0,77,81,38,19,67,31,41,62,71,81,60,39,68,72,79,60,60,60,69,72,87
SD1010897,0,92,90,82,78,60,49,60,62,70,83,60,60,73,55,80,77,74,72,65,90,91
SD1010898,1,90,89,89,88,82,91,99,82,82,83,77,100,92,81,92,80,87,90,88,93,91
SD1010899,0,83,88,68,66,73,60,0,64,76,73,84,62,71,65,84,67,74,64,68,77,89
SD1010900,0,88,90,60,47,81,68,72,66,80,74,80,70,80,83,83,79,61,85,77,82,90
SD1010901,0,83,87,78,61,76,79,89,71,87,90,82,81,83,55,70,83,87,84,75,80,89
SD1010902,0,90,85,77,74,66,60,60,60,80,84,72,80,80,62,72,60,41,75,74,89,91
SD1010903,1,90,89,84,84,69,65,77,75,78,77,66,79,90,64,75,80,88,84,80,95,89
SD1010904,0,77,74,87,64,75,69,71,73,78,91,72,71,72,63,75,69,71,61,78,69,84
SD1010906,1,77,72,76,50,68,63,43,70,73,73,63,65,63,67,76,67,60,61,72,60,69
SD1010907,1,94,75,73,70,74,60,61,68,78,88,68,65,71,60,76,81,75,70,66,71,89
SD1010908,0,90,89,68,71,82,89,91,78,84,91,84,94,88,71,87,95,91,90,82,95,90
SD1010909,1,85,91,67,60,71,76,62,62,81,81,63,73,77,60,78,70,71,75,76,85,84
SD1010911,0,88,84,82,64,65,60,19,60,66,79,60,30,67,79,86,69,70,72,80,73,93
SD1010924,0,94,87,60,60,0,71,78,0,77,79,81,88,79,77,76,77,79,76,73,85,88
SD1010925,0,76,84,0,0,0,43,60,0,77,76,0,60,67,73,72,60,67,60,73,77,89
SD1010927,0,76,0,72,71,70,63,60,78,93,86,62,29,43,70,72,62,51,54,73,0,0
SD1010929,0,80,87,64,60,76,71,70,81,78,82,70,65,67,72,87,75,65,65,73,84,81
SD1010930,0,83,82,60,86,73,69,86,83,76,75,60,72,89,82,76,68,78,78,78,92,90
SD1010931,0,83,88,87,84,82,89,94,81,82,79,87,86,91,64,77,86,99,90,83,95,88
SD1010932,0,71,90,60,40,82,44,30,78,82,81,87,76,88,82,87,78,81,78,71,90,85
SD1010933,0,82,86,83,62,82,94,99,78,77,81,99,100,94,71,83,98,99,86,83,87,92
SD1010934,0,85,87,94,97,87,96,99,78,77,72,99,90,92,74,89,98,99,90,81,94,90
SD1010935,1,82,79,46,60,67,66,82,72,77,81,64,53,82,50,76,76,96,68,66,87,77
SD1010936,0,84,83,81,77,88,63,83,84,81,78,71,61,89,64,82,76,82,69,79,90,82
SD1010937,1,82,84,75,69,79,67,60,74,74,73,64,62,88,60,77,60,67,72,76,80,86
SD1010938,1,82,82,69,44,63,82,83,69,77,76,60,42,75,50,82,81,62,69,76,82,90
SD1010939,1,86,83,69,73,73,19,72,80,76,67,67,44,82,68,74,30,50,80,75,87,86
SD1010940,0,80,79,92,69,73,73,85,84,89,80,96,74,79,60,76,78,78,80,74,89,90
SD1010941,0,80,89,84,92,82,75,77,90,86,85,84,87,74,88,91,60,96,66,85,85,88
SD1010942,0,80,85,61,60,70,60,60,81,80,80,60,61,66,62,87,63,67,73,78,72,92
SD1010943,1,87,85,73,67,82,62,76,87,89,86,66,85,85,80,92,70,90,66,86,89,92
SD1010944,1,90,87,70,73,76,79,82,83,83,82,76,91,78,62,83,82,92,68,76,89,90
SD1010945,1,90,85,81,80,76,68,80,83,83,78,89,90,80,70,88,85,90,76,80,85,90
SD1010946,0,87,90,83,73,82,60,85,84,74,90,93,91,77,60,87,90,93,78,82,87,92
SD1010947,0,90,84,78,67,76,60,64,84,80,73,89,79,81,60,81,70,86,67,73,90,90
SD1010948,0,84,88,88,96,87,96,99,80,80,80,96,100,92,63,78,100,91,89,77,90,90
SD1010949,0,87,86,77,89,82,72,73,86,73,75,70,84,92,60,86,81,91,74,78,76,92
SD1010950,0,85,81,66,60,76,60,60,84,75,78,85,65,73,68,80,60,76,73,80,76,67
SD1010951,0,83,79,88,74,91,91,84,81,90,89,92,88,79,74,93,85,99,71,82,83,90
SD1010952,1,74,79,60,29,75,42,40,69,77,73,60,29,46,60,74,60,53,60,63,81,85
SD1010953,0,90,82,66,79,76,73,67,75,72,77,73,60,70,63,85,77,72,66,73,78,92
SD1010954,1,84,83,82,26,87,49,60,75,71,80,81,78,82,66,82,63,64,82,81,86,85
SD1010955,1,84,85,79,89,67,89,97,81,83,79,85,92,87,73,83,80,95,83,70,89,90
SD1010956,0,90,91,96,95,73,98,99,81,83,81,91,98,92,76,90,93,99,86,85,92,87
SD1010957,1,82,83,65,42,85,60,60,81,84,74,78,67,87,66,86,46,67,86,72,84,92
SD1010958,0,83,85,72,87,87,87,93,78,83,82,94,90,84,66,82,74,97,81,84,85,92
SD1010959,0,78,84,60,64,70,37,78,90,75,79,38,16,71,65,60,36,63,64,76,79,82
SD1010960,1,80,82,81,80,75,77,62,84,79,91,94,95,74,61,77,78,97,79,80,81,92
SD1010961,1,87,87,75,60,79,60,60,75,80,80,68,37,81,60,60,60,93,79,81,85,89
SD1010963,0,90,86,84,61,70,78,73,86,91,84,89,68,86,85,93,75,95,76,74,87,89
SD1010964,0,82,81,77,81,78,86,98,84,91,77,69,80,79,60,78,71,73,64,81,85,80
SD1010965,0,79,85,70,72,67,62,71,75,72,70,87,81,80,60,82,70,99,80,81,84,90
SD1010966,0,82,82,63,40,67,60,60,72,75,72,76,69,72,70,82,43,60,71,62,72,90
SD1010967,0,90,86,71,81,61,76,84,81,84,86,75,83,76,65,82,72,90,71,81,85,88
SD1010968,0,0,0,78,64,73,24,73,83,82,70,78,67,0,74,86,42,66,0,68,0,0
SD1010969,0,82,82,50,32,90,23,60,69,79,77,60,51,60,60,69,68,70,79,61,84,88
SD1010970,1,81,85,75,61,82,84,90,81,82,78,73,72,81,72,80,81,99,83,74,86,85
SD1010972,0,86,79,62,60,69,60,60,78,71,72,49,42,68,60,74,60,60,67,73,86,85
SD1010973,0,93,83,83,85,91,77,81,81,77,84,86,81,79,87,85,80,87,80,80,89,92
SD1010974,0,80,85,86,88,73,83,81,81,77,88,91,77,79,60,80,82,76,67,77,83,88
SD1010975,1,81,80,61,71,81,48,75,81,78,71,64,60,72,60,74,40,52,70,74,88,89
SD1010976,0,0,0,72,60,67,70,60,77,71,84,79,78,0,66,80,80,75,0,76,0,0
SD1010978,1,76,83,69,65,61,88,82,78,81,81,68,72,80,61,88,87,71,68,79,83,85
SD1010979,0,81,83,84,92,85,85,87,86,79,74,87,87,90,73,85,81,87,80,76,90,89
SD1010980,0,76,83,60,48,73,73,74,78,76,77,77,66,92,60,77,77,67,83,74,84,89
SD1010981,1,84,86,61,67,85,60,60,80,76,75,72,60,64,64,60,68,71,71,74,81,83
SD1010982,1,85,87,63,60,76,49,60,83,83,74,60,60,74,73,81,43,70,73,73,87,90
SD1010983,0,72,85,94,98,73,88,95,87,82,78,76,82,91,91,80,99,86,76,74,88,88
SD1010998,0,80,89,0,0,0,60,76,0,88,83,60,70,66,84,81,60,82,67,0,85,90
SD1011156,0,74,0,81,73,72,60,40,0,50,60,63,0,0,86,79,64,66,60,69,0,60
