sid,loam,ines,care,cala,calb,ec,sta,stb,apec,myba,mybb,imaca,imacb,fsta,claw,bul,fma,fmb,ivm,inse,fuop,mfin
SD1010687,0,25,80,0,0,61,9,12,0,63,86,0,61,66,60,71,47,61,64,72,74,81
SD1010857,0,90,91,97,95,75,92,99,80,84,83,83,91,93,96,89,100,92,94,87,96,94
SD1010858,1,80,87,83,76,71,86,88,60,83,80,60,45,79,60,69,78,73,83,74,92,90
SD1010859,1,76,87,93,72,66,81,0,64,88,82,46,11,75,64,74,76,71,67,72,81,89
SD1010860,0,76,83,60,45,71,37,0,64,78,80,60,17,74,70,76,76,74,72,72,69,85
SD1010861,1,85,84,56,48,70,61,60,60,83,79,61,61,61,71,84,75,65,60,73,63,90
SD1010862,1,87,90,71,43,88,86,90,67,79,82,96,98,85,79,86,85,93,93,79,97,91
SD1010863,1,85,90,84,71,74,73,69,67,80,83,78,76,76,81,65,84,90,76,82,91,86
SD1010864,0,80,86,73,83,75,85,91,68,87,79,87,96,84,83,84,82,88,90,85,95,89
SD1010865,1,85,84,75,60,73,60,60,60,80,78,78,60,68,77,73,60,71,71,69,61,84
SD1010866,0,90,91,87,88,88,91,99,81,81,89,90,100,90,84,84,100,100,96,77,98,89
SD1010867,0,92,87,63,63,73,80,78,69,89,82,81,74,87,60,66,93,89,85,79,95,91
SD1010868,0,76,81,91,72,74,47,6,61,74,85,60,41,70,55,79,62,60,60,74,60,82
SD1010869,1,80,86,81,60,68,73,60,68,71,81,69,72,68,60,73,60,41,62,81,65,80
SD1010871,1,90,90,54,73,72,75,80,74,81,82,68,77,87,83,73,83,86,96,75,97,92
SD1010872,0,90,89,67,83,76,71,79,71,93,84,78,69,79,65,80,76,71,85,74,86,93
SD1010873,0,90,87,74,83,78,87,99,70,87,75,88,92,88,74,79,91,92,96,86,96,91
SD1010874,0,98,91,89,81,86,75,75,72,81,79,75,72,72,62,80,97,80,90,74,79,90
SD1010875,0,80,86,81,60,67,88,88,60,76,81,67,65,74,74,73,74,74,83,75,91,90
SD1010876,1,84,86,79,87,74,72,87,67,88,81,89,88,82,68,76,84,84,89,81,83,84
SD1010877,0,90,90,73,78,77,86,85,77,86,95,99,96,92,79,89,94,96,96,81,96,91
SD1010878,1,87,82,79,72,74,86,86,78,80,79,83,69,82,68,70,93,72,94,82,87,86
SD1010879,0,87,87,80,79,76,92,99,71,86,87,71,87,88,60,90,97,94,95,84,96,91
SD1010880,0,94,85,77,69,71,69,65,71,83,87,67,77,73,75,80,86,81,77,72,89,88
SD1010881,0,87,89,71,60,76,85,84,78,87,92,74,68,88,62,76,88,89,96,85,94,88
SD1010882,1,77,1,61,19,65,9,9,60,0,67,69,62,17,69,73,12,39,40,68,5,0
SD1010883,1,90,85,55,70,71,66,75,76,97,89,62,77,86,63,85,88,83,89,82,89,91
SD1010884,1,80,79,74,72,75,71,68,60,76,77,78,74,65,65,77,62,60,68,73,74,75
SD1010885,1,90,87,83,93,87,85,92,60,81,90,93,85,78,75,74,91,82,81,78,89,93
SD1010886,1,90,88,75,62,70,61,68,67,77,86,76,77,81,69,84,85,60,81,75,79,93
