sid,loam,ines,care,cala,calb,ec,quma,oprs,lgma,pom,erp,ac,iidm,fypl,mana,comap,apeci,mots,hufa,adpjm,sta,stb
SD1000820,0,81,80,89,65,82,88,97,89,90,79,70,82,88,68,78,79,75,79,97,91,82
SD1000821,0,74,88,85,65,78,67,70,89,85,81,69,83,77,82,68,73,73,70,89,74,75
SD1000822,0,71,85,95,60,71,60,64,81,60,62,39,68,75,60,66,61,82,60,77,92,44
SD1000823,1,85,82,73,64,78,82,94,89,75,82,70,81,77,78,74,77,89,79,95,83,95
SD1000824,0,80,88,79,72,79,86,85,86,80,74,72,84,69,72,89,79,88,80,95,80,87
SD1000825,0,80,82,75,70,72,64,60,69,43,76,60,73,64,68,60,67,76,60,91,82,60
SD1000826,0,85,88,51,53,77,76,65,70,66,72,60,85,60,65,32,70,67,63,98,77,77
SD1000828,0,78,85,93,71,79,82,81,86,60,76,75,69,66,62,76,61,88,47,86,79,71
SD1000829,1,66,82,60,41,69,60,60,74,60,60,30,60,82,60,60,56,73,60,60,60,60
SD1000830,0,72,82,84,74,63,64,97,87,75,68,60,77,66,60,65,58,83,60,84,77,76
SD1000831,1,80,84,90,81,83,91,94,86,65,75,85,79,71,68,77,63,84,78,90,75,87
SD1000832,0,84,84,97,70,87,95,96,79,80,70,73,78,67,80,87,72,83,78,98,87,97
SD1000833,0,98,92,87,68,91,97,96,95,90,82,82,98,98,84,95,84,93,77,100,88,88
SD1000834,0,92,90,87,76,91,97,98,100,93,93,64,80,78,77,60,75,91,75,100,97,97
SD1000835,1,66,90,60,31,74,62,30,62,60,69,31,62,83,60,0,53,80,60,84,60,12
SD1000836,0,84,91,91,74,86,93,93,95,77,82,99,86,85,74,71,78,87,68,90,89,95
SD1000837,0,69,83,67,60,69,70,40,81,60,63,66,67,68,60,60,49,72,60,60,60,36
SD1000838,0,87,92,85,73,82,96,99,96,90,86,89,92,73,84,88,82,89,88,95,98,97
SD1000839,0,81,88,61,54,94,76,30,66,55,67,85,88,60,80,75,65,76,44,92,60,36
SD1000840,1,75,92,76,41,77,80,88,79,80,72,97,78,72,77,90,75,73,83,93,73,85
SD1000841,0,73,85,75,72,83,70,61,88,86,73,71,80,82,72,64,58,73,69,97,64,80
SD1000842,0,75,83,89,69,88,76,73,86,60,74,60,76,62,64,74,70,78,60,85,82,81
SD1000843,0,65,88,69,61,78,81,30,75,60,76,60,84,60,60,71,74,73,74,87,63,64
