sid,loam,itdc,mana,eci,buetc,intpr,st,cala,calb,ec,ac,sadm,mis,cppg,dtst,opsy,oopg,pcpg,adcpg,itmuis,nwkpm,itdcn,inkpg,idbs,dbms,boodis
SD970722 ,0,60,64,98,26,78,44,60,50,70,71,92,30,65,77,61,71,65,51,76,60,68,61,60,60,64
SD970723 ,0,62,69,99,94,61,60,60,60,73,57,90,60,63,67,65,60,63,63,84,70,71,86,62,68,90
SD970724 ,0,61,60,92,0,49,61,33,60,60,52,88,0,50,66,0,60,60,72,88,70,73,0,48,0,0
SD970725 ,1,65,60,92,94,60,60,60,60,60,78,78,61,85,71,60,86,85,91,83,79,72,87,64,69,91
SD970726 ,0,60,70,98,87,61,68,37,60,64,90,86,70,60,68,70,70,60,51,68,73,81,81,63,64,88
SD970727 ,0,60,65,92,89,66,62,80,60,66,70,80,68,60,72,73,73,60,63,80,73,79,83,61,82,88
SD970728 ,1,55,65,98,86,83,98,60,60,62,86,93,71,60,70,71,78,60,60,75,73,78,78,74,82,89
SD970729 ,0,75,70,99,92,71,65,60,60,74,82,81,71,67,71,66,77,60,70,82,78,82,86,60,72,88
SD970730 ,1,72,77,92,89,65,69,60,60,66,79,90,67,62,65,77,84,62,63,81,64,73,83,60,84,87
SD970731 ,1,61,39,98,74,0,60,60,50,62,77,76,60,70,59,64,12,70,63,80,0,70,83,39,0,72
SD970733 ,1,55,44,99,80,61,60,60,60,81,83,87,71,88,69,71,80,88,65,73,60,67,86,65,70,85
SD970734 ,0,61,40,99,75,67,60,42,50,64,66,73,61,70,65,71,61,70,52,65,67,77,82,60,62,86
SD970735 ,1,65,45,98,87,62,75,41,60,63,71,97,78,67,62,71,92,67,63,68,87,75,85,90,80,88
SD970736 ,1,55,60,98,80,65,60,45,45,71,79,82,60,80,66,71,69,80,55,79,80,64,86,65,65,83
SD970737 ,0,53,65,96,95,73,71,60,60,72,64,98,76,70,66,70,75,70,67,82,71,74,86,80,83,88
