sid,loam,itdc,mana,eci,buetc,cala,calb,sta,stb,eca,ecb,ecmi,ecma,myba,mybb,imaca,imacb,inap,ecp,claw,bula,bulb,fma,fmb,ivm,inse,insep,ivpm,filice
SD970390 ,0,90,83,79,93,82,75,75,68,67,65,70,69,76,75,72,60,83,74,86,80,78,75,66,83,84,86,81,95
SD970391 ,1,83,74,70,84,83,73,76,63,75,68,82,65,74,70,80,67,84,90,75,64,76,70,63,85,78,76,68,69
SD970392 ,1,96,74,88,84,71,60,64,87,91,60,69,69,69,68,68,61,75,99,83,80,80,65,60,64,82,85,71,90
SD970394 ,0,83,81,65,89,61,60,31,0,70,60,73,81,64,77,74,75,75,73,76,60,82,50,50,64,79,82,72,90
SD970395 ,0,94,85,93,93,73,78,68,85,78,69,67,78,79,80,91,89,82,100,75,87,81,85,80,86,83,88,87,100
SD970396 ,1,95,82,88,88,80,90,73,84,83,68,79,86,72,80,84,77,86,83,88,80,89,81,76,89,84,79,83,95
SD970397 ,1,90,85,85,93,89,92,80,67,78,75,91,74,78,79,96,83,88,100,80,72,75,84,76,79,81,87,71,0
SD970398 ,1,98,79,90,93,68,60,61,60,74,66,75,75,86,81,97,91,87,92,80,74,70,70,60,74,87,82,69,90
SD970399 ,0,76,80,75,85,72,70,46,0,64,63,64,75,57,69,77,64,78,71,79,70,77,50,42,60,76,78,63,18
SD970400 ,1,86,80,85,93,89,94,75,89,68,60,67,78,80,78,83,83,76,98,87,87,78,84,78,91,86,88,89,69
SD970401 ,1,100,85,86,93,70,76,79,70,67,60,70,80,77,78,89,75,88,92,90,74,73,75,75,76,87,81,83,95
SD970402 ,0,91,84,86,93,70,65,67,77,77,74,91,86,77,79,83,69,82,94,90,86,86,81,83,82,84,89,82,95
SD970403 ,1,89,84,71,88,69,74,69,79,67,60,79,84,84,80,81,90,73,80,87,81,86,81,81,74,84,81,74,90
SD970404 ,0,84,86,90,93,88,97,96,98,77,72,73,87,97,84,93,90,86,99,96,90,92,99,100,82,85,92,94,100
SD970405 ,1,78,83,87,93,85,98,89,89,74,60,88,87,91,76,87,83,82,100,90,80,82,92,97,74,81,89,84,100
SD970406 ,0,91,84,89,86,66,60,85,79,65,65,67,78,75,79,90,80,89,100,91,83,82,70,62,82,88,81,84,63
SD970407 ,0,91,81,85,86,97,96,91,86,83,79,60,90,83,77,93,86,87,90,89,80,81,91,96,92,84,81,80,90
SD970408 ,0,85,81,91,86,72,89,87,90,69,62,73,75,82,79,92,89,87,100,89,87,86,80,80,76,85,85,85,66
SD970409 ,0,91,82,87,86,64,68,60,65,74,64,61,69,79,75,88,86,74,82,77,80,86,61,70,67,81,80,69,60
SD970410 ,0,86,80,89,77,83,80,84,85,78,69,70,80,74,81,92,80,80,86,80,81,78,69,78,81,83,80,72,90
SD970411 ,1,74,71,71,82,73,75,89,82,46,60,60,69,62,71,60,60,60,26,68,60,74,60,60,60,84,68,60,0
SD970412 ,0,85,80,77,85,78,85,63,85,71,72,61,80,74,70,70,71,65,84,89,80,61,62,73,72,80,76,75,69
SD970413 ,1,94,80,93,93,93,98,95,88,80,73,82,84,85,80,95,85,77,100,94,93,83,90,91,79,81,91,84,100
SD970414 ,0,85,78,82,0,76,66,88,85,67,65,70,87,79,80,76,76,73,0,86,80,82,73,79,90,81,75,79,0
SD970415 ,1,91,79,72,70,79,73,69,60,68,66,78,74,79,75,63,66,64,76,81,72,60,72,60,82,82,85,73,100
SD970416 ,0,91,80,85,93,71,77,85,85,74,65,67,83,94,81,87,78,71,84,83,82,74,83,90,77,84,92,82,100
SD970417 ,1,78,68,73,93,60,84,37,82,52,60,66,69,60,78,62,67,68,69,83,80,69,60,63,63,76,81,60,63
SD970418 ,1,76,84,66,86,43,34,60,60,74,65,66,75,58,74,80,77,76,76,76,72,82,65,46,69,86,83,68,90
SD970419 ,0,93,86,88,93,85,83,85,85,83,68,85,90,76,87,100,93,85,100,89,87,90,97,98,96,85,89,93,100
SD970420 ,1,56,68,77,86,62,63,70,64,72,60,85,80,66,78,60,60,79,86,72,80,67,67,50,85,78,73,67,0
SD970421 ,1,92,85,79,87,62,60,66,67,70,64,61,80,76,81,76,67,75,81,85,70,84,70,75,60,83,73,70,90
SD970423 ,0,75,81,83,93,89,89,93,89,75,71,76,80,74,73,97,88,86,94,83,70,66,77,84,91,78,83,82,90
SD970424 ,1,73,71,77,93,75,68,61,60,72,61,67,74,69,75,80,73,74,77,74,62,70,65,63,67,76,73,69,69
SD970425 ,0,88,81,96,93,83,94,97,99,75,66,88,93,76,84,97,97,83,100,95,97,94,97,100,100,85,94,94,100
SD970426 ,1,83,76,77,93,74,68,60,60,67,63,67,84,73,72,80,67,86,78,75,70,77,60,60,76,85,74,74,36
SD970427 ,0,68,62,60,70,63,60,23,68,63,48,75,69,67,73,63,75,70,66,77,70,62,60,48,72,79,85,70,0
SD970428 ,0,75,66,67,74,60,28,30,46,66,60,66,86,57,70,60,7,53,76,77,72,80,60,8,63,82,81,63,0
SD970430 ,0,85,64,90,89,90,84,80,96,76,60,73,74,77,74,97,88,81,90,90,82,79,67,90,86,84,85,71,60
SD970431 ,1,72,62,60,78,28,16,10,42,60,60,72,71,68,69,62,62,57,69,78,70,82,60,50,66,77,80,62,0
SD970432 ,1,66,60,54,82,19,3,41,21,64,60,64,69,51,80,60,34,14,93,57,64,72,60,60,60,88,82,60,0
SD970433 ,1,87,67,72,86,71,31,60,81,76,60,76,80,56,81,68,62,83,100,74,80,79,70,67,73,88,84,79,90
SD970434 ,1,73,73,74,86,60,16,27,0,63,60,64,69,42,75,72,65,71,73,69,60,69,60,26,65,78,77,28,0
SD970435 ,1,89,74,88,87,72,76,65,71,67,60,76,69,67,74,65,60,80,81,95,74,80,81,60,60,85,78,71,90
SD970436 ,1,72,74,71,82,35,60,49,26,63,61,62,83,71,83,61,64,62,86,75,70,66,50,60,71,74,75,60,0
SD970437 ,1,86,81,78,82,75,63,62,67,73,68,82,81,73,71,87,80,80,74,77,70,73,72,60,67,85,77,70,69
SD970438 ,1,82,79,93,93,71,82,91,84,73,72,82,74,83,86,97,94,89,100,91,86,91,86,94,83,83,87,86,95
SD970439 ,0,85,72,78,81,73,68,69,60,71,74,70,87,83,79,86,74,78,91,87,80,79,64,70,72,84,93,73,69
SD970440 ,0,92,87,97,93,76,83,86,97,73,69,82,87,83,79,91,88,87,100,94,97,86,90,88,91,85,90,89,100
SD970441 ,1,89,79,84,85,78,74,68,70,74,70,67,81,76,81,81,72,81,87,82,64,72,70,65,81,84,81,75,69
SD970442 ,1,88,75,85,81,85,95,70,82,77,76,67,86,80,80,95,91,82,90,91,65,72,70,78,73,82,80,77,69
SD970443 ,0,97,73,72,82,49,60,24,60,47,48,69,60,73,72,60,60,79,84,83,73,66,60,42,60,80,86,63,0
