sid,loam,ines,cala,calb,ec,pjm,pjmp,st,mana,sadm,mis,itdc,cppg,dtst,oopg,pcpg,nwkpm,itdcn,xmwd,inkpg,idbs,dbms
SD1021117,0,78,60,60,80,82,60,60,82,72,86,33,68,50,1,69,6,27,45,25,62,100
SD1021118,1,77,60,60,88,69,60,60,76,68,88,40,81,51,33,67,31,64,20,46,56,0
SD1021119,1,83,67,73,92,82,83,60,79,78,88,67,83,64,49,75,30,60,78,70,60,63
SD1021120,1,0,63,80,80,88,88,61,82,86,0,32,74,64,51,69,25,33,60,0,76,0
SD1021121,1,84,65,79,80,81,83,65,84,75,83,65,79,56,33,69,15,60,70,73,54,75
SD1021123,1,87,60,67,65,80,87,44,50,90,88,34,46,41,3,41,1,17,40,30,67,56
SD1021124,0,90,60,60,88,88,90,68,80,75,85,79,87,68,81,79,60,64,91,99,77,82
SD1021125,0,85,97,83,93,78,85,63,81,95,92,81,80,58,52,72,66,65,88,64,83,65
SD1021126,0,88,68,74,73,85,87,66,84,95,86,60,78,56,15,60,6,35,85,60,78,80
SD1021127,0,88,60,60,79,75,85,61,78,78,90,60,67,67,55,68,19,43,60,66,66,48
SD1021128,0,79,68,83,79,84,88,77,85,75,85,60,68,70,44,75,23,45,45,60,64,61
SD1021129,0,79,60,60,65,81,87,60,74,78,88,60,70,46,25,66,24,24,60,45,65,62
SD1021130,0,75,60,60,70,90,90,60,77,80,88,39,70,39,42,60,67,22,65,85,65,65
SD1021132,0,85,60,60,75,80,85,60,80,78,82,45,71,51,7,60,2,40,45,72,71,100
SD1021133,1,84,60,74,72,85,88,61,87,78,88,27,76,50,10,69,6,18,40,30,65,100
SD1021134,0,91,63,87,92,89,91,70,82,95,81,73,86,62,72,69,90,89,87,90,87,100
SD1021136,1,83,72,81,82,84,87,60,81,92,90,78,74,56,56,69,62,76,76,69,61,65
SD1021137,1,71,60,71,80,67,82,37,83,78,83,40,54,49,4,68,2,39,30,49,67,42
SD1021138,1,69,63,6,92,76,84,60,67,85,86,34,60,51,5,69,6,31,30,60,64,40
SD1021139,0,86,60,60,78,84,83,60,80,75,86,27,60,48,0,68,4,19,30,62,64,68
SD1021140,0,74,60,60,88,42,59,44,42,75,80,37,69,49,0,67,1,19,40,30,52,36
SD1021142,0,88,75,66,83,84,86,69,86,80,84,64,81,62,73,69,86,94,88,94,74,100
SD1021143,0,86,60,60,81,86,90,63,81,94,88,60,60,68,36,74,33,60,45,63,77,74
SD1021144,0,78,69,78,75,85,84,65,83,75,84,65,60,66,51,67,26,60,90,72,54,36
SD1021146,1,89,60,65,73,86,84,65,86,78,80,61,61,63,30,60,3,46,45,45,55,60
SD1021147,1,76,60,60,82,86,86,67,83,92,88,43,77,68,60,75,60,71,77,98,68,68
SD1021148,0,85,82,73,76,86,83,77,27,70,65,60,62,41,47,66,3,41,68,30,52,0
SD1021149,0,90,68,62,92,90,92,64,84,95,90,75,60,64,63,67,73,90,76,95,84,100
SD1021150,0,91,69,76,78,87,93,73,81,85,83,84,70,66,56,81,60,74,92,98,70,81
SD1021151,0,91,87,86,82,86,86,73,87,88,85,73,74,70,96,81,60,95,96,98,80,79
SD1021152,1,90,65,79,92,87,60,60,77,90,84,60,65,61,47,75,60,66,68,65,78,64
SD1021153,0,67,71,0,0,74,78,60,69,70,80,88,84,42,0,0,4,60,30,0,52,73
