sid,loam,ines,cala,calb,ec,pjm,pjmp,oprs,lgma,pom,ac,iidm,mana,comap,apeci,mots,hufa,sta,stb,quma
SD1021245,1,72,50,48,40,74,98,62,69,65,60,77,92,70,78,60,66,76,68,60
SD1021246,0,84,70,76,69,78,100,77,86,76,60,80,87,75,78,60,77,85,84,75
SD1021247,0,72,81,60,80,72,85,60,67,75,79,83,62,84,70,60,50,77,60,60
SD1021248,0,86,70,66,74,77,100,60,80,73,52,73,63,90,68,27,84,84,85,60
SD1021249,0,81,83,81,67,80,98,67,74,87,60,75,76,61,70,78,67,89,82,51
SD1021251,1,74,77,72,70,66,99,64,80,80,60,80,77,79,85,61,73,82,76,65
SD1021252,0,77,77,67,80,78,98,68,78,84,66,79,88,77,80,68,78,82,86,70
SD1021253,1,76,69,65,83,83,100,80,78,79,74,74,68,73,90,75,88,81,90,75
SD1021254,1,93,88,83,85,89,100,94,87,82,93,86,95,97,93,72,98,95,97,86
SD1021255,0,76,99,60,73,83,86,80,79,80,79,74,81,85,80,60,60,98,75,76
SD1021256,0,81,97,77,98,91,99,96,75,92,98,77,92,91,82,64,87,99,98,86
SD1021257,1,70,51,65,60,53,60,61,61,70,84,69,61,69,78,60,50,72,63,66
SD1021258,0,93,60,60,78,57,99,62,80,69,95,77,82,74,78,60,67,76,76,66
SD1021259,0,88,63,80,82,78,100,94,82,75,83,78,92,69,90,76,70,82,92,85
SD1021260,1,85,70,60,90,81,98,89,90,72,98,88,83,74,95,68,84,89,88,75
SD1021261,1,65,45,66,80,72,94,62,55,60,77,70,74,76,70,60,60,73,60,60
SD1021262,0,74,53,60,50,73,96,0,78,80,50,66,70,51,70,50,51,70,65,60
SD1021264,0,83,78,60,88,74,100,82,75,80,75,83,94,76,92,78,76,83,90,75
