sid,loam,mm,ma,fm,ac,apec,inap,eci,eebm,ima,mana,pom,hrm,esm,mads,erem,pjm,ines,cala,calb,sta,stb,ec
SD990540 ,0,60,76,67,83,63,84,71,74,93,80,84,82,65,90,70,73,85,77,68,47,0,73
SD990541 ,0,77,93,75,77,91,70,76,93,98,87,79,78,68,90,68,83,80,82,77,64,72,85
SD990542 ,1,85,81,90,99,99,87,94,99,99,90,97,89,83,90,81,99,94,94,99,83,89,78
SD990543 ,0,62,77,71,77,80,88,77,68,95,88,83,77,63,88,78,77,89,75,70,67,70,75
SD990544 ,0,84,93,70,71,81,78,84,98,91,87,89,83,62,90,72,79,95,76,60,68,73,84
SD990545 ,1,65,74,73,92,88,92,69,81,99,83,78,76,65,92,68,76,82,76,60,69,81,79
SD990546 ,1,73,63,61,78,72,64,76,88,90,85,78,79,59,92,65,69,87,90,90,82,0,79
SD990547 ,1,60,60,42,92,62,90,75,60,76,86,90,60,47,92,26,60,60,41,0,49,0,60
SD990548 ,0,84,91,75,99,99,90,93,92,99,90,93,84,68,88,81,87,88,82,96,84,87,79
SD990549 ,0,79,86,76,79,92,87,93,99,99,91,96,82,63,92,78,87,82,81,78,76,82,73
SD990550 ,1,69,88,70,85,93,90,93,88,99,87,92,87,70,92,77,87,82,81,92,72,81,82
SD990551 ,0,70,71,67,80,69,75,61,60,92,66,89,72,64,90,64,68,80,68,70,50,0,71
SD990552 ,1,71,89,67,80,76,82,73,87,99,84,80,79,73,88,81,80,90,77,79,50,66,69
SD990554 ,0,63,82,65,99,82,73,91,68,90,87,88,85,78,90,63,67,77,71,75,78,73,74
SD990555 ,0,82,72,62,68,89,68,85,81,99,78,84,82,72,88,77,61,75,60,81,50,41,77
SD990556 ,1,77,89,83,77,99,95,89,88,99,86,88,89,76,90,75,75,80,91,98,68,81,70
SD990558 ,1,81,90,83,88,94,89,98,93,99,90,97,80,71,90,78,80,84,91,85,80,89,80
SD990560 ,0,81,84,83,97,98,81,94,99,99,83,98,88,72,90,81,97,94,94,99,73,86,75
SD990562 ,0,65,84,68,63,87,85,78,60,99,80,60,70,69,90,68,63,86,61,50,50,50,69
SD990563 ,0,72,73,63,71,61,71,68,71,84,92,60,70,58,88,58,60,60,22,34,50,36,81
SD990564 ,0,75,72,74,80,90,86,65,65,99,79,91,83,68,90,76,91,83,74,71,67,70,86
SD990565 ,1,79,78,84,95,98,83,70,98,99,85,89,95,73,90,83,82,90,80,89,77,88,71
SD990566 ,0,67,92,65,96,80,87,83,71,93,88,74,77,67,90,72,64,78,79,75,70,68,64
SD990567 ,1,86,94,87,94,99,84,93,99,99,93,91,98,72,90,78,98,80,88,90,82,74,71
SD990569 ,0,80,78,82,95,99,84,91,93,99,86,96,81,69,90,74,89,94,99,98,92,89,75
SD990570 ,1,67,81,68,75,82,89,90,72,99,93,88,95,72,90,68,74,88,60,60,78,69,87
SD990571 ,0,71,60,51,74,64,36,74,68,92,76,63,66,70,92,70,70,72,80,36,42,0,75
SD990572 ,0,77,66,70,77,80,89,89,69,98,94,88,79,66,90,74,73,80,75,79,82,79,72
SD990573 ,0,74,89,77,91,97,85,85,75,99,85,90,93,71,90,79,77,90,90,79,78,72,86
SD990574 ,1,60,76,63,67,63,68,68,64,78,84,68,81,69,90,75,62,82,64,60,48,0,73
SD990577 ,0,78,82,70,68,81,76,71,71,98,92,70,83,81,92,71,71,82,63,60,49,47,73
SD990578 ,1,72,71,72,85,71,79,72,87,99,86,72,81,65,92,72,65,90,70,61,50,0,85
SD990579 ,0,62,77,62,70,63,77,78,65,68,88,67,77,76,88,63,61,69,44,60,47,35,71
