sid,loam,pjm,ines,cala,calb,sta,stb,ec,hufa,quma,eci,mots,pgl,oprsa,oprsb,lgma,pom,erp,ac,iidm,fypl,itdc,mana
SD990842 ,0,79,78,32,43,97,88,82,70,73,100,79,63,82,84,84,78,87,92,70,75,72,49
SD990843 ,0,82,67,78,60,47,91,65,55,71,70,70,70,61,63,78,45,68,94,72,63,65,85
SD990844 ,1,87,85,76,81,97,96,90,75,74,96,72,88,84,90,91,80,92,90,84,75,78,61
SD990845 ,0,84,71,60,19,69,66,69,60,60,83,74,60,62,60,77,60,68,75,60,61,65,60
SD990847 ,1,60,77,99,62,98,86,66,75,84,89,78,100,86,91,93,80,83,81,70,70,82,88
SD990848 ,0,96,99,99,99,99,99,88,98,99,100,91,100,99,99,99,99,100,88,86,91,97,91
SD990849 ,0,80,86,94,84,98,97,63,83,93,100,83,86,93,95,79,85,100,91,79,71,94,72
SD990850 ,0,70,53,70,60,64,60,68,78,62,60,51,60,60,60,70,70,60,80,61,60,60,60
SD990851 ,0,60,28,60,15,25,60,66,0,40,73,60,60,37,67,48,45,60,71,72,28,69,47
SD990852 ,0,87,78,92,80,90,91,63,67,72,96,70,70,78,91,61,78,99,60,69,61,75,17
SD990853 ,0,60,60,80,93,78,71,56,76,61,93,60,81,45,60,67,60,73,60,64,50,73,74
SD990854 ,1,60,60,78,74,44,60,72,70,40,71,49,70,63,45,68,60,64,82,62,49,67,46
SD990855 ,1,60,73,90,72,45,89,55,78,75,90,64,80,61,75,83,65,73,83,70,68,71,60
SD990856 ,0,79,56,71,46,69,60,68,81,60,82,61,75,63,61,60,60,70,81,70,64,65,60
SD990857 ,0,60,56,62,27,60,60,78,60,0,81,60,60,35,30,79,32,72,60,64,48,65,74
SD990859 ,0,75,79,80,70,63,67,46,67,68,88,60,75,39,82,73,73,77,99,67,60,60,70
SD990860 ,1,89,90,71,68,86,96,77,91,77,82,67,77,94,92,92,82,87,99,78,76,85,89
SD990861 ,1,60,66,70,62,34,60,54,70,46,82,44,75,1,30,61,60,60,85,61,60,60,45
SD990863 ,1,96,96,85,84,95,97,90,80,85,87,80,96,98,99,89,90,87,96,77,86,95,88
SD990864 ,0,75,75,73,60,66,70,68,85,62,84,71,77,37,63,84,60,72,94,69,78,60,63
SD990865 ,0,91,68,26,17,74,87,79,62,65,77,66,71,60,61,73,45,74,88,72,66,66,62
SD990866 ,1,87,74,39,30,87,40,61,54,60,72,60,54,1,40,62,60,60,81,63,65,70,37
SD990867 ,0,91,75,64,60,80,94,81,82,83,80,77,80,88,98,96,85,91,96,75,65,65,85
SD990869 ,1,60,80,79,72,94,89,81,74,64,91,64,97,83,88,84,73,73,92,74,60,93,79
SD990870 ,1,75,76,47,50,80,69,51,57,65,73,70,61,61,80,69,60,82,97,60,60,60,64
SD990871 ,0,87,65,51,35,60,60,71,48,47,75,60,65,35,60,55,45,60,90,70,60,60,34
SD990872 ,0,91,82,60,77,82,78,69,91,85,94,80,92,80,70,84,68,80,90,63,69,84,77
SD990873 ,1,89,84,60,60,88,92,66,76,84,89,60,80,87,91,88,80,79,89,68,51,84,82
SD990874 ,0,66,77,46,76,10,71,68,88,68,86,67,52,30,65,84,60,84,99,68,70,60,54
SD990875 ,1,72,70,55,61,35,60,61,57,60,81,61,54,32,60,64,60,64,92,60,63,60,34
