sid,loam,ines,care,cala,calb,ec,quma,oprs,lgma,pom,erp,ac,iidm,mana,comap,apeci,mots,hufa,adpjm,sta,stb
SD1011353,1,76,80,70,60,61,75,63,80,60,66,60,81,63,70,0,75,68,99,71,85
SD1011359,0,89,80,60,60,48,76,60,81,68,72,41,87,60,10,61,81,52,87,61,72
SD1011360,0,90,80,93,72,91,90,93,72,75,76,63,94,80,46,79,84,76,98,87,79
SD1011361,0,84,1,69,80,77,71,76,67,70,60,69,83,83,60,92,77,80,92,86,82
SD1011362,0,94,85,82,71,65,75,72,78,78,80,98,86,60,78,81,78,67,100,82,88
SD1011363,0,90,85,89,87,86,95,98,89,98,95,98,86,97,81,94,94,90,100,92,93
SD1011365,1,76,90,63,71,63,73,85,83,65,88,98,82,85,60,70,92,77,100,84,81
SD1011366,0,75,1,34,43,52,55,48,49,75,27,61,60,48,10,56,60,47,96,40,60
SD1011367,0,81,80,71,73,57,72,60,73,60,77,60,82,63,51,83,71,60,98,63,65
SD1011368,0,92,90,93,93,99,93,98,92,95,98,96,94,99,65,99,95,98,100,96,98
SD1011369,0,89,90,72,68,80,93,75,71,85,80,62,79,73,76,76,83,84,99,71,81
SD1011370,0,91,90,90,78,71,82,94,86,82,84,96,93,64,41,78,93,79,100,84,95
SD1011371,0,91,85,98,91,79,92,96,85,86,84,93,84,87,86,84,84,81,100,91,87
SD1011372,1,94,90,90,86,94,86,96,82,92,85,99,87,83,86,74,93,82,100,90,93
SD1011373,1,74,1,82,60,61,60,30,68,65,28,80,81,61,75,55,60,40,96,40,0
SD1011374,1,87,85,62,66,68,80,61,82,82,87,86,84,80,82,71,83,78,100,78,68
SD1011375,0,79,1,49,75,76,80,61,84,80,67,97,74,64,75,70,87,53,99,61,73
SD1011376,1,81,85,73,66,70,66,62,83,60,84,96,83,68,16,52,77,61,99,80,73
SD1011377,0,82,80,85,64,60,90,61,74,86,77,98,83,65,40,60,83,71,95,69,75
SD1011378,0,90,90,78,84,75,92,96,83,95,89,90,86,85,60,92,92,82,100,88,86
SD1011379,1,81,80,49,64,64,85,72,87,80,83,92,82,61,17,66,74,66,98,65,86
SD1011380,1,88,80,64,76,65,70,78,73,85,72,90,86,74,60,71,79,78,95,66,80
SD1011381,1,83,80,98,78,83,88,93,87,86,87,97,86,95,88,84,82,76,99,77,93
SD1011382,0,90,85,93,92,92,98,92,87,99,92,97,92,85,83,97,94,83,99,87,95
SD1011384,0,89,80,98,94,78,90,81,67,88,81,81,90,66,65,89,84,79,100,84,87
SD1011386,0,83,88,84,88,79,80,70,85,85,87,84,85,92,60,80,80,75,99,80,86
SD1011387,0,87,90,98,75,92,83,79,83,90,90,74,93,78,60,93,81,79,100,68,80
SD1011388,1,90,88,91,80,90,92,96,90,96,97,85,93,98,10,100,91,95,100,95,98
SD1011389,0,84,80,82,77,90,71,67,73,75,69,77,65,72,51,68,86,68,74,72,74
SD1011390,1,70,80,89,88,70,45,71,74,99,60,80,60,88,95,64,88,33,60,73,78
SD1011392,0,84,80,90,72,72,75,70,72,88,83,61,78,77,53,67,60,81,94,81,87
SD1011393,0,84,85,82,60,61,76,60,64,80,70,81,72,64,10,56,60,60,92,76,78
SD1011395,1,81,88,74,87,62,73,48,78,75,80,62,72,62,10,52,60,74,84,79,74
SD1011396,0,84,80,80,61,81,88,79,66,78,73,61,76,62,60,64,77,66,99,87,82
SD1011397,0,88,88,86,94,75,90,94,72,78,82,95,91,90,82,98,82,81,99,96,95
SD1011398,0,81,70,71,60,60,72,64,74,85,79,73,71,60,21,60,60,52,98,69,61
SD1011399,0,81,1,48,73,56,75,77,79,70,82,88,78,77,43,70,87,56,98,64,60
SD1011402,0,66,70,35,62,60,65,48,66,70,65,75,74,71,17,73,79,51,60,61,60
SD1011403,0,94,80,60,60,78,75,80,76,80,83,93,79,92,60,88,77,73,94,85,81
SD1011404,1,94,85,33,65,72,81,30,64,68,60,70,60,71,10,47,69,45,80,45,61
SD1011405,1,82,80,73,60,69,86,85,67,95,81,99,82,72,10,78,97,71,100,95,96
SD1011407,1,79,80,78,73,60,77,60,77,93,74,87,76,66,10,60,72,66,99,68,70
SD1011408,1,95,85,83,72,75,80,96,87,82,89,94,83,62,76,67,81,72,100,71,93
SD1011409,0,79,85,60,61,62,53,83,81,80,74,88,85,60,36,52,79,64,98,60,77
SD1011410,0,82,85,68,75,86,70,82,80,88,65,99,82,70,72,74,84,66,99,89,72
SD1011412,0,91,85,85,77,91,80,90,86,90,90,99,90,81,31,81,81,83,100,91,95
SD1011415,0,89,80,76,0,76,73,60,76,70,66,60,81,80,0,73,80,61,97,71,0
