acyr,semr,sid,loam
98,1,SD980240 ,44290
98,1,SD980241 ,44290
98,1,SD980243 ,44290
98,1,SD980249 ,44290
98,1,SD980253 ,44290
98,1,SD980254 ,44290
98,1,SD980257 ,44290
98,1,SD980261 ,44290
98,1,SD980263 ,44290
98,1,SD980266 ,44290
98,1,SD980267 ,44290
98,1,SD980269 ,44290
98,1,SD980270 ,47290
98,1,SD980271 ,47290
98,1,SD980273 ,44290
98,1,SD980277 ,44290
98,1,SD980285 ,44027
98,1,SD980286 ,56290
98,1,SD980288 ,44290
98,1,SD980299 ,56190
98,1,SD980302 ,44290
98,1,SD980304 ,44290
98,1,SD980310 ,44290
98,1,SD980311 ,44290
98,1,SD980313 ,44027
98,1,SD980317 ,44290
98,1,SD980318 ,44290
98,1,SD980319 ,44290
98,1,SD980322 ,44290
98,1,SD980324 ,44290
98,1,SD980325 ,44290
98,1,SD980328 ,44290
98,1,SD980330 ,44290
98,1,SD980331 ,44290
98,1,SD980332 ,44290
98,1,SD980334 ,44290
98,1,SD980340 ,44290
98,1,SD980342 ,47290
98,1,SD980344 ,56190
98,1,SD980345 ,38786
98,1,SD980354 ,44290
98,1,SD980355 ,44290
98,1,SD980357 ,44290
98,1,SD980359 ,44290
98,1,SD980361 ,44290
98,1,SD980367 ,44290
98,1,SD980369 ,44290
98,1,SD980370 ,47290
98,1,SD980374 ,47027
98,1,SD980375 ,56190
98,1,SD980379 ,44290
98,1,SD980385 ,44290
98,1,SD980386 ,44290
98,1,SD980387 ,44290
98,1,SD980389 ,44290
98,1,SD980390 ,44290
98,1,SD980391 ,44290
98,1,SD980393 ,44290
98,1,SD980394 ,44290
98,1,SD980395 ,44290
98,1,SD980396 ,44290
98,1,SD980398 ,59190
98,1,SD980399 ,59190
98,1,SD980400 ,53290
98,1,SD980402 ,55290
98,1,SD980403 ,23886
98,1,SD980413 ,44290
98,1,SD980417 ,44290
98,1,SD980419 ,44290
98,1,SD980421 ,44290
98,1,SD980422 ,44290
98,1,SD980425 ,44290
98,1,SD980428 ,56190
98,1,SD980433 ,52290
98,1,SD980437 ,57190
98,1,SD980441 ,44290
98,1,SD980443 ,44290
98,1,SD980449 ,44290
98,1,SD980452 ,56190
98,1,SD980454 ,44290
98,1,SD980455 ,44290
98,1,SD980457 ,30000
98,1,SD980459 ,44290
98,1,SD980460 ,23886
98,1,SD980465 ,18749
98,1,SD980472 ,45165
98,1,SD980473 ,45165
98,1,SD980475 ,44027
98,1,SD980477 ,45165
98,1,SD980488 ,45165
98,1,SD980490 ,45165
98,1,SD980491 ,45165
98,1,SD980493 ,45165
98,1,SD980495 ,45165
98,1,SD980498 ,45165
98,1,SD980499 ,45165
98,1,SD980500 ,45165
98,1,SD980505 ,45165
98,1,SD980515 ,24761
98,1,SD980525 ,45165
98,1,SD980531 ,45165
98,1,SD980533 ,45165
98,1,SD980534 ,45165
98,1,SD980537 ,36082
98,1,SD980538 ,45165
98,1,SD980540 ,48165
98,1,SD980543 ,48165
98,1,SD980549 ,45165
98,1,SD980551 ,45165
98,1,SD980552 ,45165
98,1,SD980557 ,58565
98,1,SD980558 ,45000
98,1,SD980559 ,45165
98,1,SD980562 ,45165
98,1,SD980563 ,45165
98,1,SD980565 ,25165
98,1,SD980571 ,45165
98,1,SD980573 ,45165
98,1,SD980576 ,60065
98,1,SD980585 ,45165
98,1,SD980586 ,45165
98,1,SD980587 ,45165
98,1,SD980589 ,45165
98,1,SD980590 ,45165
98,1,SD980594 ,45165
98,1,SD980597 ,53165
98,1,SD980603 ,45165
98,1,SD980607 ,18749
98,1,SD980608 ,57065
98,1,SD980609 ,48165
98,1,SD980615 ,45165
98,1,SD980617 ,45165
98,1,SD980620 ,45165
98,1,SD980632 ,56165
98,1,SD980634 ,60065
98,1,SD980647 ,45165
98,1,SD980651 ,45165
98,1,SD980653 ,45165
98,1,SD980656 ,45165
98,1,SD980660 ,44027
98,1,SD980661 ,45165
98,1,SD980664 ,45165
98,1,SD980669 ,45165
98,1,SD980673 ,45165
98,1,SD980676 ,45165
98,1,SD980679 ,45165
