acyr,semr,sid,loam
102,2,SD1020810,44331
102,2,SD1020811,44331
102,2,SD1020816,44331
102,2,SD1020818,44331
102,2,SD1020843,44331
102,2,SD1020849,9331
102,2,SD1020852,44331
102,2,SD1020855,44331
102,2,SD1020859,44331
102,2,SD1020862,44331
102,2,SD1020866,9331
102,2,SD1020867,44331
102,2,SD1020868,44331
102,2,SD1020870,44331
102,2,SD1020871,44331
102,2,SD1020872,44331
102,2,SD1020880,44331
102,2,SD1020882,9331
102,2,SD1020883,44331
102,2,SD1020885,44331
102,2,SD1020886,44331
102,2,SD1020888,44331
102,2,SD1020889,44331
102,2,SD1020912,44331
102,2,SD1020914,44331
102,2,SD1020915,55331
102,2,SD1020916,22331
102,2,SD1020919,44331
102,2,SD1020939,44331
102,2,SD1020943,44331
102,2,SD1020944,44331
102,2,SD1020950,44331
102,2,SD1020953,44331
102,2,SD1020958,44331
102,2,SD1020960,44331
102,2,SD1020961,44331
102,2,SD1020963,66831
102,2,SD1020974,44331
102,2,SD1020975,44331
102,2,SD1020977,9331
102,2,SD1020980,52331
102,2,SD1020982,44331
102,2,SD1020984,44331
102,2,SD1020987,44331
102,2,SD1020988,44331
102,2,SD1020993,44331
102,2,SD1020999,44331
102,2,SD1021003,44331
102,2,SD1021005,44331
102,2,SD1021006,9331
102,2,SD1021009,44331
102,2,SD1021011,27331
102,2,SD1021014,44331
102,2,SD1021016,44331
102,2,SD1021019,44331
102,2,SD1021020,44331
102,2,SD1021021,44331
102,2,SD1021022,44331
102,2,SD1021025,44331
102,2,SD1021026,44331
102,2,SD1021037,45206
102,2,SD1021039,31998
102,2,SD1021045,45206
102,2,SD1021047,57106
102,2,SD1021049,45206
102,2,SD1021050,45206
102,2,SD1021055,24802
102,2,SD1021059,10206
102,2,SD1021061,45206
102,2,SD1021069,10206
102,2,SD1021070,27595
102,2,SD1021074,45206
102,2,SD1021075,45206
102,2,SD1021083,45206
102,2,SD1021086,45206
102,2,SD1021090,45206
102,2,SD1021094,53206
102,2,SD1021095,48206
102,2,SD1021096,22106
102,2,SD1021097,32801
102,2,SD1021107,45206
102,2,SD1021108,45206
102,2,SD1021109,45206
102,2,SD1021110,45206
102,2,SD1021113,45206
102,2,SD1021116,45206
102,2,SD1021119,45206
102,2,SD1021120,55972
102,2,SD1021121,45206
102,2,SD1021122,45206
102,2,SD1021123,45206
102,2,SD1021133,45206
102,2,SD1021136,53206
102,2,SD1021138,45206
102,2,SD1021146,45206
102,2,SD1021147,45206
102,2,SD1021152,45206
102,2,SD1021157,55331
102,2,SD1021160,44331
102,2,SD1021166,44331
102,2,SD1021170,44331
102,2,SD1021184,44331
102,2,SD1021186,9331
102,2,SD1021188,44331
102,2,SD1021195,44331
102,2,SD1021199,47331
102,2,SD1021200,44331
102,2,SD1021206,44331
102,2,SD1021207,44331
102,2,SD1021208,44331
102,2,SD1021216,44331
102,2,SD1021218,44331
102,2,SD1021228,11531
102,2,SD1021229,34720
102,2,SD1021242,22331
102,2,SD1021243,31123
102,2,SD1021245,59231
102,2,SD1021251,44331
102,2,SD1021253,44331
102,2,SD1021254,31123
102,2,SD1021257,31123
102,2,SD1021260,9331
102,2,SD1021261,44331
103,1,SD1020662,44928
103,1,SD1020663,44928
103,1,SD1020666,44928
103,1,SD1020670,44928
103,1,SD1020674,44928
103,1,SD1020675,44928
103,1,SD1020676,44928
103,1,SD1020682,44928
103,1,SD1020683,44928
103,1,SD1020686,44928
103,1,SD1020689,44928
103,1,SD1020691,44928
103,1,SD1020697,44928
103,1,SD1020705,44928
103,1,SD1020708,36576
103,1,SD1020709,24574
103,1,SD1020716,44928
103,1,SD1020722,44928
103,1,SD1020723,44928
103,1,SD1020725,47928
103,1,SD1020728,44928
103,1,SD1020730,44928
103,1,SD1020735,44928
103,1,SD1020736,44928
103,1,SD1020739,44928
103,1,SD1020740,44928
103,1,SD1020744,44928
103,1,SD1020746,44928
103,1,SD1020751,44928
103,1,SD1020752,44928
103,1,SD1020754,44928
103,1,SD1020760,44928
103,1,SD1020766,44630
103,1,SD1020769,59828
103,1,SD1020774,44928
103,1,SD1020775,44928
103,1,SD1020777,44928
103,1,SD1020780,44928
103,1,SD1020786,44928
103,1,SD1020789,44928
103,1,SD1020800,44928
103,1,SD1020801,44928
103,1,SD1020805,44928
103,1,SD1020807,44928
103,1,SD1020810,44928
103,1,SD1020818,44928
103,1,SD1020843,47928
103,1,SD1020845,44928
103,1,SD1020849,44928
103,1,SD1020852,44928
103,1,SD1020855,44928
103,1,SD1020859,44928
103,1,SD1020862,44928
103,1,SD1020866,44928
103,1,SD1020868,44928
103,1,SD1020870,44928
103,1,SD1020871,44928
103,1,SD1020872,31539
103,1,SD1020880,44928
103,1,SD1020882,44928
103,1,SD1020883,44928
103,1,SD1020885,30076
103,1,SD1020888,44928
103,1,SD1020914,44928
103,1,SD1020915,52928
103,1,SD1020916,44928
103,1,SD1020928,44928
103,1,SD1020939,44928
103,1,SD1020943,44928
103,1,SD1020944,44928
103,1,SD1020950,44928
103,1,SD1020953,44928
103,1,SD1020958,44928
103,1,SD1020960,44928
103,1,SD1020961,44928
103,1,SD1020974,44928
103,1,SD1020975,44928
103,1,SD1020980,52928
103,1,SD1020987,44928
103,1,SD1020988,44928
103,1,SD1020993,44928
103,1,SD1020999,44928
103,1,SD1021003,44928
103,1,SD1021005,44928
103,1,SD1021006,44928
103,1,SD1021009,44928
103,1,SD1021011,44928
103,1,SD1021014,44928
103,1,SD1021016,44928
103,1,SD1021019,44928
103,1,SD1021020,44928
103,1,SD1021021,44928
103,1,SD1021022,44928
103,1,SD1021023,44928
103,1,SD1021026,44928
103,1,SD1021037,45815
103,1,SD1021039,32426
103,1,SD1021041,45815
103,1,SD1021045,45815
103,1,SD1021047,57715
103,1,SD1021049,56815
103,1,SD1021052,45815
103,1,SD1021055,25461
103,1,SD1021059,45815
103,1,SD1021061,45815
103,1,SD1021069,45815
103,1,SD1021070,27963
103,1,SD1021074,45815
103,1,SD1021084,45815
103,1,SD1021086,45815
103,1,SD1021088,45815
103,1,SD1021090,45815
103,1,SD1021094,53815
103,1,SD1021095,48815
103,1,SD1021096,53815
103,1,SD1021103,45815
103,1,SD1021107,45815
103,1,SD1021110,45815
103,1,SD1021113,45815
103,1,SD1021116,45815
103,1,SD1021119,45815
103,1,SD1021120,55979
103,1,SD1021121,45815
103,1,SD1021122,45815
103,1,SD1021123,45815
103,1,SD1021133,0
103,1,SD1021136,53815
103,1,SD1021137,45815
103,1,SD1021146,45815
103,1,SD1021147,45815
103,1,SD1021152,45815
103,1,SD1021157,47928
103,1,SD1021160,44928
103,1,SD1021166,44928
103,1,SD1021170,44928
103,1,SD1021184,44928
103,1,SD1021186,44928
103,1,SD1021188,44928
103,1,SD1021195,44928
103,1,SD1021199,56828
103,1,SD1021200,44928
103,1,SD1021203,44928
103,1,SD1021206,44928
103,1,SD1021207,44928
103,1,SD1021208,44928
103,1,SD1021218,44928
103,1,SD1021229,27076
103,1,SD1021242,44928
103,1,SD1021243,31539
103,1,SD1021245,59828
103,1,SD1021251,44928
103,1,SD1021253,44928
103,1,SD1021254,31539
103,1,SD1021257,31539
103,1,SD1021260,44928
103,1,SD1021261,44928
