sid,pjm,ines,cala,calb,sta,ec,ac,mana,sadm,mis,pom,itdc,cppg,dtst,oopg,pcpg,adcpg,nwkpm,itdcn,inkpg,xmwd,idbs,dbms
SD990720 ,89,87,93,71,80,89,87,87,72,96,83,81,75,81,76,88,73,99,90,84,100,86,97
SD990721 ,82,83,92,64,69,81,78,76,65,93,70,64,63,70,74,84,69,68,60,63,75,54,71
SD990722 ,86,94,63,75,68,90,85,91,82,88,76,74,63,56,77,89,81,71,70,69,83,68,95
SD990723 ,83,80,64,65,67,84,82,82,76,93,72,67,64,55,68,76,60,60,63,66,89,74,73
SD990724 ,96,95,92,82,93,93,92,87,89,98,91,87,85,90,89,91,94,99,99,100,100,89,91
SD990725 ,86,84,86,66,69,82,83,76,85,91,85,62,75,64,67,91,77,71,81,76,82,73,87
SD990726 ,NA,NA,31,50,40,79,76,30,10,NA,16,60,55,55,65,62,47,60,45,NA,NA,1,NA
SD990727 ,75,77,68,60,60,71,77,70,65,85,67,72,87,57,70,84,77,70,70,63,73,60,75
SD990728 ,91,82,83,80,69,60,84,86,80,95,80,69,75,64,73,90,85,61,81,74,96,72,94
SD990729 ,93,99,84,83,74,82,85,79,70,88,85,76,67,67,71,86,76,99,69,83,100,87,95
SD990730 ,89,92,75,67,73,60,75,85,82,97,79,75,60,68,77,88,73,76,70,75,94,68,93
SD990731 ,55,51,68,60,60,78,80,74,24,75,41,63,75,65,58,90,52,39,62,0,50,45,70
SD990732 ,78,63,85,66,83,77,79,84,77,90,77,67,68,69,71,82,63,95,77,60,92,78,74
SD990733 ,NA,NA,75,60,69,68,65,78,67,NA,71,60,62,55,66,67,50,60,60,NA,NA,49,NA
SD990734 ,78,90,74,68,68,74,83,79,62,82,77,64,66,73,67,88,67,73,78,55,79,86,94
SD990735 ,85,86,91,60,67,60,83,82,70,88,80,63,75,65,71,72,65,60,81,69,73,69,79
SD990736 ,55,39,56,47,40,50,75,29,16,85,41,62,60,44,54,60,45,60,53,55,14,40,62
SD990737 ,78,55,60,60,60,60,67,66,63,70,69,61,73,51,63,76,60,36,73,55,12,54,30
SD990738 ,NA,NA,40,50,30,74,80,14,2,NA,1,61,55,49,1,60,60,18,78,NA,NA,1,NA
SD990739 ,NA,NA,15,5,NA,48,79,NA,NA,NA,NA,60,50,NA,NA,50,40,NA,53,NA,NA,NA,NA
SD990740 ,78,78,95,73,74,83,82,68,50,80,69,64,69,60,66,82,60,75,93,55,81,60,82
SD990741 ,66,91,89,90,81,77,90,79,78,95,77,81,75,68,58,81,75,91,82,60,90,72,89
SD990742 ,86,97,80,65,90,88,79,86,80,98,88,75,80,76,76,91,90,99,95,82,99,91,97
SD990743 ,55,82,13,5,30,50,80,65,17,80,40,60,63,67,57,81,55,21,60,55,50,33,72
SD990744 ,88,87,82,68,73,88,85,72,77,89,82,61,80,67,63,90,81,63,81,66,79,73,89
SD990745 ,87,90,63,62,72,63,80,86,76,89,66,94,62,65,78,88,74,99,99,78,93,65,82
SD990746 ,86,85,25,17,60,73,82,74,76,85,64,73,64,72,74,91,71,69,71,71,79,60,72
SD990747 ,73,88,60,46,60,53,83,71,80,85,76,65,75,67,56,82,67,60,71,77,67,52,79
SD990748 ,NA,64,79,65,66,78,69,82,14,85,40,65,45,39,1,61,50,12,66,55,30,38,43
SD990749 ,68,91,70,60,67,85,82,80,76,82,81,65,68,58,66,84,71,67,62,65,70,65,87
SD990750 ,55,39,60,60,40,49,79,56,16,89,43,60,50,39,57,60,40,8,43,55,12,46,62
SD990751 ,84,81,60,65,67,67,88,66,73,91,69,82,62,65,74,68,75,88,96,77,82,60,78
SD990752 ,NA,NA,64,36,30,53,77,0,NA,NA,NA,60,40,24,NA,68,50,5,49,NA,NA,NA,NA
SD990753 ,89,91,60,62,71,81,86,81,73,90,72,73,61,64,73,91,74,60,78,69,71,75,82
SD990754 ,82,93,83,95,88,85,85,79,71,96,85,72,73,71,63,89,83,68,87,63,86,72,98
SD990755 ,83,74,86,88,66,83,79,72,85,85,68,65,86,61,70,67,64,60,64,45,70,60,62
SD990756 ,79,70,19,7,60,43,82,71,65,85,63,69,76,60,65,84,50,60,60,48,61,55,54
SD990757 ,84,83,84,60,60,81,81,76,65,85,69,78,78,66,80,84,82,60,86,70,93,72,95
SD990758 ,81,85,83,93,75,70,87,87,68,85,67,68,66,70,77,84,85,82,74,80,87,67,89
SD990759 ,NA,NA,22,NA,NA,69,NA,NA,NA,NA,NA,60,58,NA,NA,60,NA,NA,NA,NA,NA,NA,NA
SD990760 ,80,69,NA,NA,65,NA,NA,NA,70,80,60,NA,NA,74,67,73,NA,60,60,60,60,66,43
SD990761 ,84,76,NA,NA,84,NA,NA,84,60,85,80,NA,97,75,74,90,NA,90,97,69,89,83,98
SD990762 ,85,85,NA,NA,86,NA,NA,80,65,88,71,NA,77,58,63,NA,NA,73,78,70,70,68,46
