sid,pjm,ines,st,cala,calb,ec,ac,mana,sadm,mis,pom,itdc,cppg,dtst,opsy,oopg,pcpg,adcpg,nwkpm,itdcn,inkpg,idbs,dbms
SD980741 ,63,61,60,57,52,61,80,60,70,60,60,74,80,54,14,39,82,76,41,61,63,33,50
SD980742 ,72,74,62,70,53,69,79,75,73,75,70,64,60,65,67,60,67,63,63,74,66,70,66
SD980743 ,NA,48,72,51,48,66,76,67,68,71,1,63,88,62,50,75,86,81,65,81,59,64,70
SD980744 ,NA,NA,NA,43,NA,NA,79,NA,NA,NA,NA,66,80,NA,NA,NA,74,NA,NA,NA,NA,NA,NA
SD980745 ,85,94,70,48,60,74,77,85,62,68,66,72,60,65,69,61,68,80,60,70,86,63,83
SD980746 ,91,63,66,42,65,68,77,84,80,71,73,78,94,65,82,65,93,86,73,83,90,63,80
SD980747 ,79,66,88,50,45,72,83,76,80,63,80,75,65,68,65,68,60,80,78,60,75,70,83
SD980748 ,78,68,74,60,75,72,82,84,75,71,74,65,77,64,86,61,76,78,76,73,87,66,71
SD980749 ,82,72,80,33,60,79,79,82,75,73,67,68,60,67,78,60,61,80,61,70,72,68,68
SD980750 ,NA,25,43,NA,NA,NA,NA,85,63,54,60,NA,NA,64,61,34,NA,NA,26,NA,60,45,41
SD980751 ,NA,NA,23,NA,NA,NA,NA,NA,33,NA,26,NA,NA,60,NA,NA,NA,NA,28,NA,NA,33,NA
SD980752 ,88,69,61,NA,73,NA,76,NA,60,52,60,NA,NA,64,76,98,82,NA,60,80,73,66,40
SD980753 ,82,94,NA,NA,NA,NA,NA,83,60,76,70,NA,NA,54,NA,82,NA,NA,85,73,81,60,73
