sid,ines,care,cala,calb,ec,quma,oprs,lgma,pom,erp,ac,iidm,fypl,mana,comap,apeci,mots,hufa,adpjm,sta,stb
SD1000890,76,88,62,35,75,60,42,85,60,74,61,66,91,75,95,87,72,76,86,78,82
SD1000891,70,NA,62,40,75,60,93,77,60,NA,87,71,NA,70,74,63,67,74,60,66,77
SD1000892,83,80,80,68,77,50,30,72,60,60,60,68,60,80,72,98,68,63,75,68,31
SD1000893,76,86,71,50,80,80,72,79,60,70,60,92,82,68,70,89,75,76,79,71,86
SD1000894,78,87,73,40,75,60,68,80,72,68,65,69,80,64,60,52,71,69,96,71,88
SD1000895,83,88,83,74,83,99,95,84,85,74,69,77,71,76,93,83,70,89,87,88,94
SD1000896,79,86,63,35,60,60,38,76,60,60,30,68,65,60,81,60,65,54,77,63,60
SD1000897,79,88,73,60,70,65,84,88,70,68,60,72,63,66,81,77,70,84,81,80,88
SD1000898,77,88,71,67,85,80,94,90,87,75,83,93,73,74,97,93,77,88,92,91,96
SD1000899,80,90,60,63,76,66,62,83,72,69,86,82,60,74,78,97,62,68,100,80,68
SD1000900,85,88,63,62,80,85,93,83,82,81,87,85,87,73,84,83,67,78,100,82,87
SD1000901,85,88,49,60,73,80,74,85,85,77,78,86,91,76,64,81,80,80,100,88,86
SD1000902,84,88,78,60,83,66,80,83,60,66,74,62,60,75,90,98,60,74,84,83,60
SD1000903,NA,NA,60,33,70,NA,1,NA,15,NA,63,43,NA,41,28,38,1,NA,NA,0,NA
SD1000904,76,88,87,35,89,60,78,62,70,73,73,64,81,80,86,74,83,64,82,85,85
SD1000905,80,88,38,60,83,60,61,74,75,65,69,76,60,75,77,90,70,56,88,77,70
SD1000906,93,88,60,60,77,86,95,95,92,61,99,69,67,62,73,84,68,80,95,90,97
SD1000907,89,90,98,90,93,86,99,95,90,86,67,98,80,86,95,92,79,91,97,96,97
SD1000908,79,80,80,84,84,70,94,77,80,62,60,83,60,77,81,93,81,60,76,98,79
SD1000909,80,86,63,60,88,60,69,97,72,72,60,69,60,73,69,60,67,60,80,89,77
SD1000910,85,85,91,89,84,72,93,73,90,64,60,60,60,80,84,94,65,60,77,81,65
