acyr,semr,sid,loam
97,1,SD970838 ,45165
97,1,SD970842 ,60065
97,1,SD970844 ,45165
97,1,SD970856 ,57065
97,2,SD970224 ,48165
97,2,SD970225 ,35065
97,2,SD970232 ,45165
97,2,SD970233 ,45165
97,2,SD970236 ,45165
97,2,SD970242 ,45165
97,2,SD970243 ,45165
97,2,SD970244 ,45165
97,2,SD970245 ,45165
97,2,SD970246 ,45165
97,2,SD970249 ,56165
97,2,SD970251 ,45165
97,2,SD970252 ,45165
97,2,SD970254 ,45165
97,2,SD970256 ,23165
97,2,SD970258 ,45165
97,2,SD970259 ,43065
97,2,SD970262 ,10165
97,2,SD970264 ,45165
97,2,SD970268 ,57065
97,2,SD970269 ,45165
97,2,SD970270 ,45165
97,2,SD970275 ,60065
97,2,SD970276 ,53165
97,2,SD970285 ,57065
97,2,SD970286 ,45165
97,2,SD970287 ,45165
97,2,SD970291 ,13165
97,2,SD970294 ,45165
97,2,SD970296 ,27554
97,2,SD970297 ,45165
97,2,SD970300 ,25065
97,2,SD970301 ,45165
97,2,SD970302 ,45165
97,2,SD970304 ,18165
97,2,SD970305 ,60065
97,2,SD970308 ,45165
97,2,SD970313 ,45165
97,2,SD970314 ,48165
97,2,SD970315 ,28165
97,2,SD970321 ,58065
97,2,SD970322 ,45165
97,2,SD970323 ,45165
97,2,SD970329 ,57065
97,2,SD970339 ,48165
97,2,SD970346 ,45165
97,2,SD970347 ,45165
97,2,SD970349 ,36165
97,2,SD970354 ,56190
97,2,SD970357 ,45165
97,2,SD970364 ,45165
97,2,SD970369 ,45165
97,2,SD970372 ,60065
97,2,SD970374 ,45165
97,2,SD970375 ,45165
97,2,SD970376 ,23165
97,2,SD970381 ,45165
97,2,SD970382 ,18165
97,2,SD970389 ,45165
97,2,SD970391 ,10165
97,2,SD970392 ,60065
97,2,SD970396 ,45165
97,2,SD970397 ,48165
97,2,SD970398 ,45165
97,2,SD970401 ,45165
97,2,SD970403 ,28165
97,2,SD970411 ,33760
97,2,SD970415 ,45165
97,2,SD970417 ,48165
97,2,SD970418 ,45165
97,2,SD970420 ,45165
97,2,SD970421 ,45165
97,2,SD970422 ,45165
97,2,SD970424 ,45165
97,2,SD970426 ,45165
97,2,SD970429 ,45165
97,2,SD970431 ,39454
97,2,SD970432 ,45165
97,2,SD970433 ,18165
97,2,SD970435 ,57065
97,2,SD970436 ,45165
97,2,SD970437 ,57065
97,2,SD970438 ,57065
97,2,SD970442 ,53165
97,2,SD970446 ,44290
97,2,SD970447 ,44290
97,2,SD970452 ,56190
97,2,SD970454 ,44290
97,2,SD970455 ,44290
97,2,SD970460 ,44290
97,2,SD970461 ,44290
97,2,SD970463 ,44290
97,2,SD970465 ,44290
97,2,SD970467 ,44290
97,2,SD970470 ,44290
97,2,SD970471 ,56190
97,2,SD970475 ,44290
97,2,SD970477 ,26679
97,2,SD970480 ,44290
97,2,SD970482 ,44290
97,2,SD970487 ,44290
97,2,SD970488 ,27290
97,2,SD970494 ,44290
97,2,SD970495 ,56190
97,2,SD970508 ,44290
97,2,SD970509 ,21190
97,2,SD970512 ,44290
97,2,SD970515 ,44290
97,2,SD970522 ,53290
97,2,SD970529 ,44290
97,2,SD970533 ,44290
97,2,SD970534 ,9290
97,2,SD970543 ,39190
97,2,SD970544 ,9290
97,2,SD970547 ,9290
97,2,SD970549 ,44290
97,2,SD970556 ,44290
97,2,SD970558 ,44290
97,2,SD970563 ,45165
97,2,SD970566 ,45165
97,2,SD970567 ,45165
97,2,SD970568 ,45165
97,2,SD970570 ,45165
97,2,SD970574 ,45165
97,2,SD970575 ,10165
97,2,SD970576 ,10165
97,2,SD970580 ,60065
97,2,SD970581 ,45165
97,2,SD970582 ,45165
97,2,SD970584 ,45165
97,2,SD970588 ,45165
97,2,SD970594 ,45165
97,2,SD970608 ,45165
97,2,SD970609 ,54165
97,2,SD970611 ,45165
97,2,SD970612 ,31957
97,2,SD970613 ,60065
97,2,SD970623 ,54165
97,2,SD970626 ,45165
97,2,SD970627 ,45165
97,2,SD970629 ,45165
97,2,SD970635 ,45165
97,2,SD970637 ,45165
97,2,SD970638 ,53165
97,2,SD970639 ,18165
97,2,SD970643 ,57065
97,2,SD970647 ,48165
97,2,SD970649 ,45165
97,2,SD970651 ,45165
97,2,SD970654 ,23165
97,2,SD970658 ,33165
97,2,SD970670 ,59065
97,2,SD970673 ,45165
97,2,SD970680 ,45165
97,2,SD970681 ,45165
97,2,SD970683 ,45165
97,2,SD970684 ,45165
97,2,SD970689 ,45165
97,2,SD970699 ,45165
97,2,SD970701 ,56165
97,2,SD970702 ,45165
97,2,SD970703 ,45165
97,2,SD970705 ,45165
97,2,SD970708 ,18165
97,2,SD970709 ,45165
97,2,SD970714 ,45165
97,2,SD970719 ,45165
97,2,SD970725 ,48165
97,2,SD970728 ,10165
97,2,SD970730 ,58065
97,2,SD970731 ,56165
97,2,SD970732 ,56165
97,2,SD970733 ,45165
97,2,SD970735 ,45165
97,2,SD970736 ,53165
97,2,SD970741 ,44290
97,2,SD970745 ,44290
97,2,SD970746 ,44290
97,2,SD970751 ,9290
97,2,SD970752 ,44290
97,2,SD970756 ,44290
97,2,SD970757 ,44290
97,2,SD970759 ,44290
97,2,SD970763 ,27290
97,2,SD970777 ,44290
97,2,SD970781 ,44290
97,2,SD970782 ,44290
97,2,SD970783 ,32290
97,2,SD970787 ,22290
97,2,SD970788 ,44290
97,2,SD970790 ,44290
97,2,SD970796 ,52290
97,2,SD970800 ,57190
97,2,SD970802 ,40190
97,2,SD970805 ,9290
97,2,SD970807 ,44290
97,2,SD970810 ,44290
97,2,SD970812 ,44290
97,2,SD970819 ,44290
97,2,SD970821 ,44290
97,2,SD970822 ,47290
97,2,SD970831 ,44290
97,2,SD970837 ,44290
97,2,SD970838 ,44290
97,2,SD970842 ,59190
97,2,SD970844 ,9290
97,2,SD970845 ,47290
97,2,SD970856 ,44290
98,1,SD970224 ,47290
98,1,SD970225 ,56190
98,1,SD970232 ,44290
98,1,SD970233 ,44290
98,1,SD970236 ,44290
98,1,SD970242 ,44290
98,1,SD970243 ,44290
98,1,SD970244 ,44290
98,1,SD970245 ,56190
98,1,SD970246 ,44290
98,1,SD970251 ,44290
98,1,SD970252 ,44290
98,1,SD970254 ,44290
98,1,SD970255 ,44290
98,1,SD970256 ,44290
98,1,SD970257 ,44290
98,1,SD970258 ,44290
98,1,SD970259 ,59190
98,1,SD970262 ,44290
98,1,SD970264 ,47290
98,1,SD970268 ,44290
98,1,SD970269 ,44290
98,1,SD970270 ,44290
98,1,SD970275 ,59190
98,1,SD970276 ,44290
98,1,SD970285 ,56190
98,1,SD970286 ,44290
98,1,SD970287 ,44290
98,1,SD970291 ,47290
98,1,SD970294 ,44290
98,1,SD970296 ,26679
98,1,SD970297 ,44290
98,1,SD970298 ,44290
98,1,SD970300 ,47290
98,1,SD970301 ,44290
98,1,SD970302 ,44290
98,1,SD970304 ,44290
98,1,SD970305 ,47290
98,1,SD970308 ,44290
98,1,SD970310 ,44290
98,1,SD970313 ,44290
98,1,SD970314 ,47290
98,1,SD970315 ,44290
98,1,SD970321 ,44290
98,1,SD970322 ,44290
98,1,SD970323 ,44290
98,1,SD970329 ,56190
98,1,SD970330 ,44290
98,1,SD970339 ,45165
98,1,SD970344 ,45165
98,1,SD970346 ,45165
98,1,SD970347 ,45165
98,1,SD970349 ,45165
98,1,SD970354 ,57065
98,1,SD970357 ,45165
98,1,SD970364 ,45165
98,1,SD970369 ,45165
98,1,SD970372 ,50165
98,1,SD970375 ,45165
98,1,SD970376 ,45165
98,1,SD970381 ,45165
98,1,SD970382 ,48165
98,1,SD970386 ,48165
98,1,SD970389 ,45165
98,1,SD970391 ,45165
98,1,SD970392 ,45165
98,1,SD970396 ,45165
98,1,SD970397 ,48165
98,1,SD970398 ,45165
98,1,SD970401 ,45165
98,1,SD970403 ,45165
98,1,SD970405 ,48165
98,1,SD970411 ,24811
98,1,SD970415 ,45165
98,1,SD970417 ,48165
98,1,SD970418 ,45165
98,1,SD970420 ,45165
98,1,SD970421 ,45165
98,1,SD970424 ,45165
98,1,SD970426 ,45165
98,1,SD970431 ,35554
98,1,SD970432 ,45165
98,1,SD970433 ,45165
98,1,SD970434 ,45165
98,1,SD970435 ,45165
98,1,SD970436 ,45165
98,1,SD970437 ,53165
98,1,SD970438 ,45165
98,1,SD970441 ,45165
98,1,SD970442 ,53165
98,1,SD970446 ,44290
98,1,SD970447 ,44290
98,1,SD970452 ,44290
98,1,SD970454 ,44290
98,1,SD970455 ,44290
98,1,SD970460 ,44290
98,1,SD970461 ,44290
98,1,SD970463 ,44290
98,1,SD970467 ,44290
