sid,ines,care,cala,calb,ec,st,mana,sadm,mis,pom,itdc,cppg,dtst,oopg,pcpg,nwkpm,itdcn,inkpg,xmwd,idbs,dbms
SD1011212,84,92,69,60,63,81,71,82,75,88,64,64,80,82,82,60,60,95,83,74,78
SD1011213,76,80,76,64,69,81,80,83,75,75,60,67,68,52,81,75,60,85,80,72,74
SD1011214,84,95,80,62,75,70,87,78,76,80,73,84,78,63,81,60,83,83,45,63,72
SD1011215,86,94,71,60,67,77,76,76,80,70,72,67,75,67,60,60,46,97,92,75,88
SD1011216,96,96,100,96,88,98,85,90,82,93,75,88,92,81,97,95,95,99,93,84,92
SD1011217,NA,NA,70,31,63,60,60,NA,NA,NA,72,83,36,80,89,1,53,NA,NA,NA,NA
SD1011218,87,88,77,64,74,67,72,81,81,81,67,69,78,65,82,60,67,79,74,62,65
SD1011219,87,78,66,73,63,72,81,78,78,75,65,77,73,68,81,60,67,75,60,56,70
SD1011220,81,1,80,61,67,60,76,76,73,68,62,72,67,76,81,26,60,NA,80,57,66
SD1011221,85,82,79,67,67,63,70,87,74,77,79,64,77,71,60,79,50,91,85,64,84
SD1011222,96,94,83,81,86,87,83,86,80,94,76,76,86,75,88,89,98,97,96,76,86
SD1011223,NA,NA,17,29,60,NA,NA,NA,NA,NA,60,51,NA,1,18,NA,31,NA,NA,NA,NA
SD1011224,89,76,51,60,53,68,79,78,76,79,53,78,74,78,65,9,43,75,80,74,75
SD1011225,77,74,65,66,74,68,77,75,81,89,72,87,79,74,74,60,73,61,60,57,72
SD1011226,72,60,76,71,60,80,79,76,74,78,69,60,74,78,60,40,67,63,60,68,61
SD1011228,75,60,76,67,66,74,73,72,73,69,75,65,67,54,60,21,60,76,60,54,55
SD1011229,67,16,60,60,86,64,77,60,66,75,67,60,57,60,48,5,35,40,0,21,55
SD1011230,83,82,82,60,66,66,74,72,79,70,52,67,79,68,82,60,61,75,85,61,78
SD1011231,88,87,75,77,69,90,88,83,76,80,65,74,75,64,82,61,60,89,76,62,60
SD1011232,83,82,75,64,70,72,85,75,78,68,61,67,75,66,81,60,60,89,85,61,75
SD1011233,48,49,68,60,71,64,74,80,68,75,62,66,60,68,74,60,45,88,60,76,61
SD1011234,60,28,70,75,78,60,62,64,72,63,76,77,77,76,91,83,98,77,60,26,61
SD1011235,86,95,83,77,68,93,87,85,82,80,66,71,83,74,82,75,61,91,99,73,88
SD1011236,86,87,77,67,73,69,72,74,81,63,67,86,77,67,82,60,61,76,85,72,72
SD1011237,78,82,NA,NA,NA,60,68,83,81,67,NA,NA,76,NA,82,14,NA,74,60,69,75
SD1011238,72,62,NA,NA,NA,60,NA,81,74,67,60,NA,77,NA,NA,14,NA,50,40,61,61
SD1011239,92,94,NA,NA,NA,77,82,83,81,86,90,95,77,71,95,79,94,99,80,74,85
SD1011240,65,NA,24,NA,NA,NA,NA,98,61,NA,84,90,NA,NA,NA,NA,80,88,NA,NA,30
SD1011241,72,67,72,NA,NA,NA,73,68,71,68,74,NA,NA,NA,NA,NA,NA,60,45,65,55
SD1011242,71,67,NA,NA,NA,60,49,64,72,60,1,76,25,NA,76,NA,NA,30,0,0,55
SD1011243,81,96,93,97,93,82,95,80,85,84,89,79,93,83,79,89,92,80,94,89,79
SD1011244,92,96,88,76,87,80,95,89,90,99,81,61,65,74,61,87,90,67,90,76,85
SD1011245,92,96,87,85,86,89,97,88,90,99,79,60,72,60,60,90,86,76,85,77,82
SD1011246,69,91,100,100,91,86,93,63,87,83,85,68,89,81,68,78,80,93,81,71,83
SD1011247,87,82,90,94,82,97,91,78,90,82,82,61,73,68,61,75,71,60,88,78,78
SD1011248,85,96,91,87,69,88,90,96,90,94,76,85,69,83,85,86,82,82,91,90,90
SD1011250,NA,NA,60,20,33,NA,NA,NA,NA,NA,62,36,NA,5,60,NA,26,NA,NA,NA,NA
SD1011251,78,94,89,71,85,73,92,70,88,82,84,63,60,60,63,84,83,69,72,69,86
SD1011252,63,78,68,60,73,64,86,62,81,60,84,54,84,44,60,80,67,0,77,53,66
SD1011253,75,86,90,68,78,70,82,71,88,69,79,64,60,71,64,72,74,60,78,67,84
SD1011254,78,60,97,86,74,68,90,83,85,74,73,80,79,80,80,88,64,60,77,55,84
SD1011255,NA,NA,62,60,67,66,74,NA,NA,NA,77,50,56,60,60,64,60,NA,NA,NA,NA
SD1011256,75,92,60,60,63,60,80,80,85,90,69,22,18,28,60,71,74,45,84,72,75
SD1011257,86,83,85,69,74,60,89,82,88,88,83,60,60,65,60,86,86,60,66,70,78
SD1011258,78,93,79,60,76,62,84,70,90,65,84,75,80,87,75,78,83,82,90,68,84
SD1011259,76,96,76,60,78,72,91,82,90,77,82,71,67,73,71,85,86,87,89,67,84
SD1011260,76,86,90,82,82,63,87,76,83,93,78,50,43,60,60,77,80,70,63,69,76
SD1011261,81,67,74,60,79,63,86,81,78,78,71,45,23,60,60,37,64,48,60,60,60
SD1011262,63,63,73,64,71,60,73,44,87,39,80,53,62,60,60,67,61,64,60,54,60
SD1011263,86,89,93,72,84,85,85,85,88,79,83,68,93,73,68,83,83,75,73,79,77
SD1011264,73,88,85,70,81,92,85,73,87,87,85,40,63,44,60,73,63,47,74,55,83
SD1011265,86,94,82,83,83,94,93,79,88,79,87,75,92,85,75,90,98,86,80,74,89
SD1011266,70,83,78,60,77,69,76,67,88,51,71,38,15,17,60,40,38,64,63,50,76
SD1011267,72,83,64,60,76,66,85,63,87,54,69,20,14,2,60,55,60,0,45,62,62
SD1011268,75,86,85,83,90,100,88,76,88,83,80,41,75,75,60,72,81,46,45,70,80
SD1011269,66,74,52,60,80,63,82,42,88,60,60,20,33,30,60,63,60,35,45,60,28
SD1011270,81,82,84,60,83,77,88,77,90,78,89,81,88,93,81,80,60,91,95,54,80
SD1011271,72,70,80,60,80,78,85,61,88,73,78,30,72,53,60,75,74,74,80,60,62
SD1011272,82,82,60,60,80,60,83,61,85,62,77,60,60,63,60,74,60,75,62,48,77
SD1011273,79,85,81,63,75,82,86,71,88,81,82,30,79,60,60,58,60,49,62,60,75
SD1011274,73,NA,74,60,80,63,85,70,80,60,88,61,65,68,61,76,60,29,45,48,47
SD1011275,78,92,65,60,76,60,86,68,85,86,73,27,37,28,60,79,40,43,67,60,77
SD1011276,NA,NA,69,60,64,65,89,44,NA,66,81,60,60,60,60,66,73,NA,45,66,NA
SD1011277,NA,NA,68,60,84,NA,NA,NA,NA,NA,83,77,NA,4,77,NA,1,NA,NA,NA,NA
SD1011278,NA,NA,79,20,77,NA,NA,NA,NA,NA,73,28,NA,26,60,NA,1,NA,NA,NA,NA
SD1011279,69,90,81,62,75,67,75,72,88,52,77,30,27,18,60,52,60,61,78,61,80
SD1011280,81,96,79,83,90,99,90,67,90,81,82,46,73,67,60,88,87,69,86,74,84
SD1011281,74,73,68,60,62,63,80,65,88,60,77,68,81,74,68,71,60,83,78,54,73
SD1011282,81,82,79,65,79,80,83,77,83,66,80,40,38,60,60,72,70,49,88,75,84
SD1011283,78,69,79,62,75,60,71,54,88,39,75,50,15,62,60,85,61,52,60,64,78
SD1011284,79,93,76,63,78,78,87,61,88,81,79,43,60,40,60,73,48,50,60,51,60
SD1011285,NA,NA,51,10,75,NA,NA,NA,NA,NA,72,38,NA,2,60,NA,1,NA,NA,NA,NA
SD1011286,81,80,93,87,92,91,88,82,86,91,72,60,73,78,60,74,82,68,63,83,75
SD1011287,71,81,60,60,79,67,77,67,88,60,86,71,75,79,71,81,60,79,78,60,79
SD1011288,72,83,78,60,84,71,81,84,81,73,75,37,27,26,60,52,63,60,64,77,74
SD1011289,NA,NA,44,NA,29,NA,NA,NA,NA,NA,40,15,NA,NA,15,NA,NA,NA,NA,NA,NA
SD1011290,79,87,66,60,77,63,84,55,83,70,75,60,60,51,60,75,61,42,62,54,80
SD1011291,72,92,69,60,75,60,84,63,85,65,80,61,49,48,61,85,46,60,67,61,75
SD1011292,NA,NA,14,10,29,NA,NA,NA,NA,NA,40,0,NA,2,0,NA,1,NA,NA,NA,NA
SD1011293,75,86,60,NA,NA,67,81,61,85,81,78,63,60,87,79,82,81,63,77,68,79
SD1011294,NA,NA,NA,NA,NA,40,82,NA,NA,NA,NA,NA,14,NA,NA,54,NA,NA,NA,NA,NA
SD1011295,90,74,60,NA,68,79,87,61,85,69,NA,NA,60,NA,NA,74,NA,NA,45,55,80
SD1011296,74,71,70,63,66,68,1,99,85,NA,90,96,NA,NA,81,NA,NA,95,NA,NA,82
SD1011297,76,94,NA,NA,NA,89,79,91,88,98,NA,NA,86,NA,95,NA,NA,86,88,85,95
